CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2010
"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"PRONTO SOCORRO TRAUMATO-ORTOPEDICO (ANTIGO)";"Total"
"412420 Santo Antônio do Caiuá";-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"412430 Santo Antônio do Paraíso";-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"412440 Santo Antônio do Sudoeste";-;-;-;-;3;-;1;9;-;-;-;1;-;-;-;2;-;-;-;1;-;4;-;-;-;-;-;-;21
"412450 Santo Inácio";-;-;-;-;1;-;1;6;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"412460 São Carlos do Ivaí";-;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"412470 São Jerônimo da Serra";-;-;-;-;1;-;2;1;-;-;-;1;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;10
"412480 São João";-;-;-;-;1;-;3;3;-;-;-;1;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;12
"412490 São João do Caiuá";-;-;-;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"412500 São João do Ivaí";-;-;-;-;2;-;1;6;-;-;-;1;-;-;-;3;-;-;-;-;-;2;-;-;-;-;-;-;15
"412510 São João do Triunfo";-;-;-;-;2;-;1;1;-;-;-;1;-;-;-;8;-;-;-;-;-;-;1;-;-;-;-;-;14
"412520 São Jorge d'Oeste";-;-;-;-;2;-;1;3;-;-;-;1;-;-;-;7;-;-;-;1;-;3;-;-;-;-;-;-;18
"412530 São Jorge do Ivaí";-;-;-;-;2;-;1;2;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;8
"412535 São Jorge do Patrocínio";-;-;-;-;1;-;1;1;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;7
"412540 São José da Boa Vista";-;-;-;-;2;-;1;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6
"412545 São José das Palmeiras";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;5
"412550 São José dos Pinhais";-;-;1;-;27;-;62;165;-;1;-;3;-;-;3;2;-;-;-;1;-;19;-;-;1;-;1;-;286
"412555 São Manoel do Paraná";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"412560 São Mateus do Sul";-;-;-;-;17;-;1;37;-;2;-;1;-;-;3;1;1;-;1;1;-;6;-;-;-;-;-;-;71
"412570 São Miguel do Iguaçu";-;-;-;-;2;-;5;15;-;-;-;-;-;-;-;12;1;-;-;1;-;3;-;-;-;-;-;-;39
"412575 São Pedro do Iguaçu";-;-;-;-;5;-;3;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;11
"412580 São Pedro do Ivaí";-;-;-;-;1;-;3;8;-;-;-;1;-;-;-;2;-;-;-;-;-;2;1;-;-;-;-;-;18
"412590 São Pedro do Paraná";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"412600 São Sebastião da Amoreira";-;-;-;-;1;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;7
"412610 São Tomé";-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"412620 Sapopema";-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;6
"412625 Sarandi";-;-;1;-;8;-;5;32;-;-;-;1;-;-;-;1;-;-;-;-;-;7;-;-;-;-;-;-;55
"412627 Saudade do Iguaçu";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;4
"412630 Sengés";-;-;-;-;1;-;1;3;-;-;-;1;-;-;-;2;-;-;-;-;-;2;1;-;-;-;-;-;11
"412635 Serranópolis do Iguaçu";-;-;-;-;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;7
"412640 Sertaneja";-;-;-;-;2;-;2;5;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;12
"412650 Sertanópolis";-;-;-;-;2;-;1;12;-;-;-;1;-;-;2;-;-;-;-;-;-;2;1;-;-;-;-;-;21
"412660 Siqueira Campos";-;-;-;-;2;-;1;25;-;-;-;1;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;32
"412665 Sulina";-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;2;-;-;-;-;-;1;1;-;-;-;-;-;8
"412667 Tamarana";-;-;-;-;2;-;1;2;-;-;-;1;-;-;1;2;-;-;-;-;-;-;1;-;-;-;-;-;10
"412670 Tamboara";-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"412680 Tapejara";-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;5;-;-;-;-;-;4;-;-;-;-;-;-;13
"412690 Tapira";-;-;-;-;2;-;1;2;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;8
"412700 Teixeira Soares";-;-;-;-;1;-;1;5;-;-;-;1;-;-;-;6;-;-;-;-;-;1;-;-;-;-;1;-;16
"412710 Telêmaco Borba";-;1;1;-;1;-;7;45;-;1;-;1;1;-;5;15;-;-;-;-;-;8;-;-;-;-;-;-;86
"412720 Terra Boa";-;-;1;-;4;-;7;8;-;-;-;2;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;24
"412730 Terra Rica";-;-;-;-;3;-;3;3;-;-;-;1;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;16
"412740 Terra Roxa";-;-;-;-;2;-;2;12;-;-;-;2;-;-;-;5;-;-;-;1;-;5;1;-;-;-;-;-;30
"412750 Tibagi";-;-;-;-;5;-;1;1;-;-;-;1;-;-;-;9;-;-;-;-;-;1;-;-;-;-;-;-;18
"412760 Tijucas do Sul";-;-;-;-;5;-;1;2;-;-;-;1;-;-;-;3;-;-;-;1;-;1;-;-;-;-;-;-;14
"412770 Toledo";-;-;2;-;12;-;35;236;-;1;-;3;1;-;-;7;-;-;-;1;-;33;1;-;-;-;1;-;333
"412780 Tomazina";-;-;-;-;1;-;1;7;-;-;-;1;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;15
"412785 Três Barras do Paraná";-;-;-;-;1;-;1;1;-;-;-;1;-;-;-;2;-;-;-;-;-;3;-;-;-;-;-;-;9
"412788 Tunas do Paraná";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"412790 Tuneiras do Oeste";-;-;-;-;1;-;-;5;-;-;-;1;-;-;-;4;-;-;-;-;-;1;-;-;-;-;-;-;12
"412795 Tupãssi";-;-;-;-;4;-;-;7;-;-;-;2;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;17
"412796 Turvo";-;-;-;-;4;-;3;1;-;-;-;1;-;-;-;17;-;-;-;-;-;2;-;-;-;-;-;-;28
"412800 Ubiratã";-;1;-;-;4;-;10;15;-;-;-;3;-;-;-;2;-;-;-;-;-;6;1;-;-;-;-;-;42
"412810 Umuarama";1;1;-;-;21;-;74;183;-;1;1;3;1;-;-;4;-;-;1;1;-;5;-;-;-;-;-;-;297
"412820 União da Vitória";-;1;1;-;10;-;6;94;-;-;1;2;-;-;16;16;-;-;-;1;-;10;2;-;-;-;-;-;160
"412830 Uniflor";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"412840 Uraí";-;-;-;-;1;-;3;4;-;-;-;1;-;-;1;2;-;-;-;1;-;3;-;-;-;-;-;-;16
"412853 Ventania";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;6
"412855 Vera Cruz do Oeste";-;-;-;-;1;-;3;6;-;-;-;1;-;-;-;3;-;-;-;1;-;1;-;-;-;-;-;-;16
"412860 Verê";-;-;-;-;2;-;1;1;-;-;-;1;-;-;-;6;-;-;-;1;-;1;-;-;-;-;-;-;13
"412865 Virmond";-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"412870 Vitorino";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;4
"412850 Wenceslau Braz";-;-;-;-;2;-;2;4;-;-;-;1;-;-;-;8;-;-;-;-;-;1;-;-;-;-;-;-;18
"412880 Xambrê";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;5
"420005 Abdon Batista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420010 Abelardo Luz";-;-;1;-;5;-;4;8;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;23
"420020 Agrolândia";-;-;-;-;1;-;1;4;-;-;-;1;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;11
"420030 Agronômica";-;-;-;-;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"420040 Água Doce";-;-;-;-;2;-;2;6;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;14
"420050 Águas de Chapecó";-;-;-;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"420055 Águas Frias";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"420060 Águas Mornas";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"420070 Alfredo Wagner";-;-;-;-;3;-;1;4;-;-;-;1;-;-;1;1;-;-;-;1;-;2;-;-;-;-;-;-;14
"420075 Alto Bela Vista";-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;5
"420080 Anchieta";-;-;-;-;1;-;1;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;7
"420090 Angelina";-;-;-;-;2;-;-;2;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;8
"420100 Anita Garibaldi";-;-;-;-;1;-;3;7;-;-;-;1;-;-;-;2;-;-;-;1;-;2;-;-;-;-;-;-;17
"420110 Anitápolis";-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"420120 Antônio Carlos";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4
"420125 Apiúna";-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;4;-;-;-;1;-;1;-;-;-;-;2;-;12
"420127 Arabutã";-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;3;-;-;-;1;-;1;-;-;-;-;-;-;8
"420130 Araquari";-;-;-;-;4;-;2;1;-;-;-;-;-;-;-;3;-;-;-;1;-;1;-;1;-;-;-;-;13
"420140 Araranguá";-;-;1;-;21;-;28;85;-;1;-;1;-;-;4;2;-;-;-;2;-;10;-;-;1;-;-;-;156
"420150 Armazém";-;-;-;-;2;-;2;-;-;-;-;1;-;-;-;1;-;-;-;1;-;3;-;-;-;-;-;-;10
"420160 Arroio Trinta";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;5
"420165 Arvoredo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420170 Ascurra";-;-;-;-;2;-;1;4;-;4;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;14
"420180 Atalanta";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420190 Aurora";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;4
"420195 Balneário Arroio do Silva";-;-;-;-;4;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;8
"420205 Balneário Barra do Sul";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;8
"420200 Balneário Camboriú";-;-;1;-;9;1;46;363;-;-;-;5;-;-;7;-;-;-;-;1;-;27;2;-;2;-;1;-;465
"420207 Balneário Gaivota";-;-;-;-;5;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8
"421280 Balneário Piçarras";-;-;-;-;6;-;1;23;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;32
"420208 Bandeirante";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"420209 Barra Bonita";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"420210 Barra Velha";-;-;-;-;8;-;3;9;-;-;-;-;-;-;-;-;1;-;-;1;-;2;-;-;-;-;-;-;24
"420213 Bela Vista do Toldo";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;6
"420215 Belmonte";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"420220 Benedito Novo";-;-;-;-;4;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;9
"420230 Biguaçu";-;-;-;-;10;-;5;7;-;-;-;-;-;-;4;5;1;-;-;1;-;4;-;-;1;-;-;-;38
"420240 Blumenau";-;-;3;-;66;-;106;491;-;-;-;4;6;-;4;-;-;-;1;2;-;47;-;-;3;-;-;-;733
"420243 Bocaina do Sul";-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"420250 Bom Jardim da Serra";-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;5
"420253 Bom Jesus";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420257 Bom Jesus do Oeste";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420260 Bom Retiro";-;-;-;-;2;-;1;9;-;-;-;1;-;-;-;3;-;-;-;1;-;2;-;-;-;-;-;-;19
"420245 Bombinhas";-;-;-;-;4;-;1;2;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;1;-;-;-;11
"420270 Botuverá";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420280 Braço do Norte";-;-;-;-;10;-;3;17;-;-;-;2;-;-;-;-;-;-;-;2;-;5;1;-;1;-;-;-;41
"420285 Braço do Trombudo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;3
"420287 Brunópolis";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"420290 Brusque";-;-;1;-;19;-;48;123;1;-;-;3;-;-;1;2;-;-;-;2;-;46;-;-;2;-;-;-;248
"420300 Caçador";-;-;2;-;3;-;14;72;-;-;-;2;-;-;3;11;1;-;-;2;-;2;-;-;-;-;1;-;113
"420310 Caibi";-;-;-;-;3;-;2;7;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;14
"420315 Calmon";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"420320 Camboriú";-;-;1;-;9;-;5;11;-;1;-;1;-;-;-;-;-;-;-;1;-;3;1;-;2;-;-;-;35
"420330 Campo Alegre";-;-;-;-;5;-;-;9;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;18
"420340 Campo Belo do Sul";-;-;-;-;1;-;2;3;-;-;-;1;-;-;-;2;-;-;-;1;-;2;-;-;-;-;1;-;13
"420350 Campo Erê";-;-;-;-;1;-;3;5;-;-;-;2;-;-;-;3;-;-;-;1;-;1;-;-;-;-;-;-;16
"420360 Campos Novos";-;-;1;-;10;-;3;43;-;-;-;1;-;-;-;2;-;-;-;2;-;6;-;-;-;-;-;-;68
"420370 Canelinha";-;-;-;-;7;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;12
"420380 Canoinhas";-;-;1;-;2;-;11;66;-;-;-;1;-;-;1;17;-;-;1;2;-;11;1;-;2;-;2;-;118
"420325 Capão Alto";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420390 Capinzal";-;-;1;-;7;-;4;30;-;-;-;2;-;-;-;-;-;-;-;1;-;4;-;-;-;-;-;-;49
"420395 Capivari de Baixo";-;-;-;-;9;-;2;5;-;-;-;-;-;-;-;-;-;-;1;1;-;5;-;-;-;-;-;-;23
"420400 Catanduvas";-;-;-;-;1;-;4;4;-;-;-;1;-;-;1;4;-;-;-;1;-;1;-;-;1;-;-;-;18
"420410 Caxambu do Sul";-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;6
"420415 Celso Ramos";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420417 Cerro Negro";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"420419 Chapadão do Lageado";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"420420 Chapecó";-;-;3;-;27;-;85;357;-;1;1;2;1;-;2;4;2;-;1;2;-;28;-;-;2;-;3;-;521
"420425 Cocal do Sul";-;-;1;-;7;-;7;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;18
"420430 Concórdia";-;-;1;-;11;-;19;89;-;-;-;1;-;-;2;17;-;-;-;2;-;11;1;-;-;-;-;-;154
"420435 Cordilheira Alta";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;4
"420440 Coronel Freitas";-;-;-;-;3;-;-;8;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;15
"420445 Coronel Martins";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"420455 Correia Pinto";-;-;-;-;2;-;-;9;-;-;-;1;-;-;-;2;-;-;-;1;-;2;-;-;-;-;-;-;17
"420450 Corupá";-;-;-;-;4;-;2;14;-;-;-;-;-;-;-;2;1;-;-;1;-;1;-;-;-;-;-;-;25
"420460 Criciúma";-;-;3;-;39;1;86;256;-;-;3;2;-;-;-;9;-;-;-;2;-;21;1;-;-;-;-;-;423
"420470 Cunha Porã";-;-;-;-;2;-;3;13;-;-;-;1;-;-;-;-;-;-;-;1;-;5;-;-;-;-;1;-;26
"420475 Cunhataí";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420480 Curitibanos";-;-;1;-;10;-;11;69;-;-;-;1;-;-;2;1;-;-;-;2;-;2;1;-;1;-;-;-;101
"420490 Descanso";-;-;-;-;2;-;1;7;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;14
"420500 Dionísio Cerqueira";-;-;1;-;7;-;1;9;-;-;-;1;-;1;3;-;-;-;-;2;-;-;-;-;1;-;1;-;27
"420510 Dona Emma";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420515 Doutor Pedrinho";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"420517 Entre Rios";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;4
"420519 Ermo";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"420520 Erval Velho";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;6
"420530 Faxinal dos Guedes";-;-;-;-;5;-;2;10;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;21
"420535 Flor do Sertão";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420540 Florianópolis";-;-;4;-;49;6;290;388;1;3;9;12;9;1;27;-;2;3;1;7;-;81;3;-;1;-;1;-;898
"420543 Formosa do Sul";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420545 Forquilhinha";-;-;1;-;8;-;1;2;-;-;-;-;-;-;1;4;-;-;-;1;-;2;1;-;-;-;-;-;21
"420550 Fraiburgo";-;-;1;-;5;-;14;38;-;-;-;1;-;-;3;-;-;-;-;1;-;-;-;-;-;-;1;-;64
"420555 Frei Rogério";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420560 Galvão";-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"420570 Garopaba";-;-;1;-;6;-;3;4;-;-;-;-;-;-;-;8;-;-;-;1;-;1;-;-;-;-;-;-;24
"420580 Garuva";-;-;-;-;4;-;1;5;-;-;-;-;-;-;-;-;1;-;-;1;-;2;-;-;-;-;-;-;14
"420590 Gaspar";1;-;1;-;9;-;12;30;-;-;-;1;-;-;3;2;-;-;-;1;-;5;-;-;-;-;-;-;65
"420600 Governador Celso Ramos";-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;3;-;-;-;1;-;1;-;-;-;-;-;-;10
"420610 Grão Pará";-;-;-;-;1;-;2;1;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;7
"420620 Gravatal";-;-;-;-;5;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;10
"420630 Guabiruba";-;-;-;-;-;-;-;5;-;2;-;1;-;-;1;5;-;-;-;1;-;4;-;-;-;-;-;-;19
"420640 Guaraciaba";-;-;-;-;2;-;1;14;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;21
"420650 Guaramirim";-;-;-;-;9;-;2;24;-;8;-;1;-;-;-;-;-;-;-;1;-;3;-;-;1;-;-;-;49
"420660 Guarujá do Sul";-;-;-;-;2;-;-;5;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;9
"420665 Guatambú";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"420670 Herval d'Oeste";-;-;1;-;1;-;2;3;-;-;-;-;-;-;1;7;-;-;-;1;-;1;-;-;-;-;-;-;17
"420675 Ibiam";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;5
"420680 Ibicaré";-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;5
"420690 Ibirama";-;-;1;-;7;-;5;18;-;-;-;1;-;-;1;-;-;-;-;2;-;2;1;-;-;-;1;-;39
"420700 Içara";-;-;1;-;29;-;12;20;-;1;-;2;-;-;1;-;-;-;-;1;-;4;-;-;-;-;-;-;71
"420710 Ilhota";-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;4;-;-;-;1;-;1;-;-;-;-;-;-;9
"420720 Imaruí";-;-;-;-;5;-;1;8;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;17
"420730 Imbituba";-;-;1;-;28;-;11;45;-;-;-;1;-;-;-;-;-;-;-;1;-;7;1;-;-;-;-;-;95
"420740 Imbuia";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"420750 Indaial";-;-;1;-;12;-;13;54;-;-;-;1;-;-;1;1;-;-;-;1;-;4;-;-;2;-;-;-;90
"420757 Iomerê";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;4
"420760 Ipira";-;-;-;-;1;-;1;1;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;8
"420765 Iporã do Oeste";-;-;-;-;2;-;1;8;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;14
"420768 Ipuaçu";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;6
"420770 Ipumirim";-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;5;-;-;-;1;-;2;-;1;-;-;-;-;16
"420775 Iraceminha";-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;5
"420780 Irani";-;-;-;-;3;-;2;4;-;-;-;1;-;-;3;-;-;-;-;1;-;3;-;-;-;-;-;-;17
"420785 Irati";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"420790 Irineópolis";-;-;-;-;1;-;1;1;-;-;-;1;-;-;-;4;-;-;-;1;-;1;-;-;1;-;-;-;11
"420800 Itá";-;-;-;-;2;-;1;6;-;-;-;1;-;-;-;2;-;-;-;1;-;2;1;-;-;-;-;-;16
"420810 Itaiópolis";-;-;1;-;8;-;4;12;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;29
"420820 Itajaí";-;-;3;-;26;1;78;341;-;1;1;1;-;-;3;1;1;-;-;2;-;31;-;-;2;-;1;-;493
