CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2011
"Município";"ACADEMIA DA SAÚDE";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"PRONTO SOCORRO TRAUMATO-ORTOPEDICO (ANTIGO)";"Total"
"420500 Dionísio Cerqueira";-;-;-;1;-;7;-;1;9;-;-;-;1;-;1;3;-;-;-;-;2;-;1;-;-;1;-;1;-;28
"420510 Dona Emma";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420515 Doutor Pedrinho";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"420517 Entre Rios";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;4
"420519 Ermo";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"420520 Erval Velho";-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;6
"420530 Faxinal dos Guedes";-;-;-;-;-;5;-;2;10;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;21
"420535 Flor do Sertão";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420540 Florianópolis";-;-;-;4;-;49;6;325;389;1;3;9;13;7;1;26;-;2;3;1;7;-;81;2;-;1;-;1;-;931
"420543 Formosa do Sul";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420545 Forquilhinha";-;-;-;1;-;8;-;1;3;-;-;-;-;-;-;1;4;-;-;-;1;-;2;-;-;-;-;-;-;21
"420550 Fraiburgo";-;-;-;1;-;5;-;7;65;-;-;-;1;-;-;2;-;-;-;-;1;-;2;-;-;1;-;1;-;86
"420555 Frei Rogério";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420560 Galvão";-;-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"420570 Garopaba";-;-;-;1;-;7;-;4;4;-;-;-;-;-;-;-;7;-;-;-;1;-;1;-;-;-;-;-;-;25
"420580 Garuva";-;-;-;-;-;4;-;1;5;-;-;-;-;-;-;-;-;1;-;-;1;-;2;-;-;-;-;-;-;14
"420590 Gaspar";-;1;-;1;-;9;-;16;32;-;-;-;1;-;-;2;2;-;-;-;1;-;5;-;-;1;-;-;-;71
"420600 Governador Celso Ramos";-;-;-;-;-;4;-;1;1;-;-;-;-;-;-;-;3;-;-;-;1;-;1;-;-;-;-;-;-;11
"420610 Grão Pará";-;-;-;-;-;4;-;2;1;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;10
"420620 Gravatal";-;-;-;-;-;5;-;3;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;11
"420630 Guabiruba";-;-;-;-;-;-;-;-;5;-;2;-;1;-;-;1;5;-;-;-;1;-;4;-;-;-;-;-;-;19
"420640 Guaraciaba";-;-;-;-;-;2;-;3;14;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;23
"420650 Guaramirim";-;-;-;-;-;9;-;3;26;-;10;-;1;-;-;-;-;-;-;-;1;-;5;-;-;1;-;-;-;56
"420660 Guarujá do Sul";-;-;-;-;-;2;-;-;5;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;10
"420665 Guatambú";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"420670 Herval d'Oeste";-;-;-;1;-;1;-;2;3;-;-;-;-;-;-;1;8;-;-;-;1;-;1;-;-;-;-;-;-;18
"420675 Ibiam";-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;5
"420680 Ibicaré";-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;5
"420690 Ibirama";-;-;-;1;-;7;-;5;16;-;-;-;1;-;-;1;-;-;-;-;2;-;2;-;-;-;-;-;-;35
"420700 Içara";-;-;-;1;-;29;-;12;19;-;1;-;2;-;-;1;-;-;-;-;1;-;4;-;-;-;-;-;-;70
"420710 Ilhota";-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;4;-;-;-;1;-;1;-;-;-;-;-;-;9
"420720 Imaruí";-;-;-;-;-;5;-;1;8;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;17
"420730 Imbituba";-;-;-;1;-;27;-;14;47;-;-;-;1;-;-;1;-;-;-;-;1;-;7;1;-;1;-;-;-;101
"420740 Imbuia";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"420750 Indaial";-;-;-;1;-;13;-;13;53;-;-;-;1;-;-;1;1;-;-;-;1;-;4;-;-;2;-;-;-;90
"420757 Iomerê";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;5
"420760 Ipira";-;-;-;-;-;1;-;1;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;7
"420765 Iporã do Oeste";-;-;-;-;-;2;-;1;8;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;14
"420768 Ipuaçu";-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;7
"420770 Ipumirim";-;-;-;-;-;1;-;1;5;-;-;-;1;-;-;-;2;-;-;-;1;-;2;-;1;-;-;-;-;14
"420775 Iraceminha";-;-;-;-;-;1;-;1;4;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;8
"420780 Irani";-;-;-;-;-;3;-;2;4;-;-;-;1;-;-;3;-;-;-;-;1;-;3;-;-;-;-;-;-;17
"420785 Irati";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"420790 Irineópolis";-;-;-;-;-;1;-;1;1;-;-;-;1;-;-;-;4;-;-;-;1;-;1;-;-;1;-;-;-;11
"420800 Itá";-;-;-;-;-;2;-;1;6;-;-;-;1;-;-;-;2;-;-;-;1;-;2;1;-;-;-;-;-;16
"420810 Itaiópolis";-;-;-;1;-;8;-;4;11;-;-;-;1;-;-;-;-;-;-;-;1;-;3;-;-;1;-;-;-;30
"420820 Itajaí";1;-;-;3;-;27;-;93;287;-;7;1;1;-;-;3;1;1;-;-;2;-;33;-;-;2;-;1;-;463
"420830 Itapema";3;1;-;1;-;9;-;17;38;-;-;-;1;-;-;1;-;-;-;-;1;-;9;-;-;2;-;-;-;83
"420840 Itapiranga";-;-;-;-;-;6;-;3;12;-;-;-;1;-;-;-;-;-;-;-;2;-;3;-;-;-;-;-;-;27
"420845 Itapoá";-;-;-;-;-;5;-;2;2;-;-;-;-;-;-;-;-;1;-;-;1;-;2;-;-;-;-;-;-;13
"420850 Ituporanga";-;-;-;-;-;9;-;3;11;-;-;-;1;-;-;1;-;-;-;-;2;-;3;-;-;2;-;-;-;32
"420860 Jaborá";-;-;-;-;-;1;-;1;3;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;9
"420870 Jacinto Machado";-;-;-;-;-;3;-;2;10;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;20
"420880 Jaguaruna";-;-;-;-;-;5;-;2;11;-;-;-;1;-;-;-;3;-;-;-;1;-;3;-;-;-;-;-;-;26
"420890 Jaraguá do Sul";-;-;-;2;-;14;-;61;323;1;2;-;3;-;-;20;9;-;-;-;2;-;11;1;-;2;-;-;-;451
"420895 Jardinópolis";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;3
"420900 Joaçaba";-;-;-;1;-;8;-;27;145;1;-;-;2;-;-;-;2;-;-;-;2;-;9;-;-;1;-;-;-;198
"420910 Joinville";-;-;1;4;-;62;-;245;515;-;1;1;6;3;-;13;-;3;-;-;2;-;126;1;-;8;-;3;-;994
"420915 José Boiteux";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;3
"420917 Jupiá";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420920 Lacerdópolis";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;4
"420930 Lages";-;-;-;3;-;29;-;45;348;-;1;1;2;-;-;3;-;-;1;1;2;-;45;2;2;1;-;1;-;487
"420940 Laguna";1;-;-;1;-;14;-;10;27;-;-;-;1;-;-;3;-;-;-;-;2;-;8;2;-;2;-;-;-;71
"420945 Lajeado Grande";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"420950 Laurentino";-;-;-;-;-;1;-;-;4;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;8
"420960 Lauro Muller";-;-;-;-;-;7;-;5;4;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;19
"420970 Lebon Régis";-;-;-;-;-;1;-;2;1;-;-;-;1;-;-;1;3;-;-;-;1;-;-;-;-;-;-;-;-;10
"420980 Leoberto Leal";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"420985 Lindóia do Sul";-;-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"420990 Lontras";-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;5
"421000 Luiz Alves";-;-;-;-;-;6;-;-;17;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;26
"421003 Luzerna";-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;5
"421005 Macieira";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"421010 Mafra";-;-;-;1;-;2;-;15;33;-;-;1;1;1;-;1;13;-;-;1;2;-;7;-;-;1;-;-;-;79
"421020 Major Gercino";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;4
"421030 Major Vieira";-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"421040 Maracajá";-;-;-;-;-;2;-;2;1;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;9
"421050 Maravilha";-;-;-;1;-;5;-;3;30;-;-;-;1;-;-;-;-;-;-;-;2;-;10;-;-;1;-;-;-;53
"421055 Marema";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"421060 Massaranduba";-;-;-;-;-;4;-;2;13;-;-;-;-;-;-;1;-;-;-;1;1;-;2;-;-;1;-;-;-;25
"421070 Matos Costa";-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;6
"421080 Meleiro";-;-;-;-;-;1;-;5;3;-;-;-;1;-;-;-;5;-;-;-;1;-;-;-;-;-;-;-;-;16
"421085 Mirim Doce";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"421090 Modelo";-;-;-;-;-;1;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;-;8
"421100 Mondaí";-;-;-;-;-;3;-;5;4;-;-;-;1;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;17
"421105 Monte Carlo";-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;8
"421110 Monte Castelo";-;-;-;1;-;4;-;2;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;11
"421120 Morro da Fumaça";-;-;-;-;-;8;-;2;2;-;-;-;1;-;-;-;2;-;-;-;1;-;2;-;-;-;-;-;-;18
"421125 Morro Grande";-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;6
"421130 Navegantes";-;-;-;1;-;19;1;17;32;-;-;-;1;-;-;-;-;-;-;-;1;-;5;-;-;1;-;-;-;78
"421140 Nova Erechim";-;-;-;-;-;1;-;1;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8
"421145 Nova Itaberaba";-;-;-;-;-;1;-;-;4;-;1;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;9
"421150 Nova Trento";-;-;-;-;-;5;-;2;5;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;-;17
"421160 Nova Veneza";-;-;-;-;-;5;-;6;8;-;-;-;1;1;-;-;5;-;-;-;1;-;-;-;-;-;-;-;-;27
"421165 Novo Horizonte";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"421170 Orleans";-;-;-;1;-;10;-;9;11;-;-;-;1;-;-;2;-;-;-;-;1;-;4;1;-;1;-;-;-;41
"421175 Otacílio Costa";-;-;-;-;-;3;-;3;7;-;-;-;1;-;-;1;2;-;-;-;1;-;4;-;-;-;-;-;-;22
"421180 Ouro";-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"421185 Ouro Verde";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;4
"421187 Paial";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"421189 Painel";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"421190 Palhoça";-;-;-;1;-;19;-;9;14;-;-;-;2;-;-;2;-;-;-;1;1;-;7;-;-;1;-;-;-;57
"421200 Palma Sola";-;-;-;-;-;1;-;1;3;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;9
"421205 Palmeira";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"421210 Palmitos";-;-;-;1;-;2;-;2;12;-;-;-;1;-;-;-;3;-;-;-;2;-;3;-;-;-;-;-;-;26
"421220 Papanduva";-;-;-;1;-;1;-;1;11;-;-;-;1;-;-;1;5;-;-;-;1;-;-;-;-;1;-;-;-;23
"421223 Paraíso";-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"421225 Passo de Torres";-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;5
"421227 Passos Maia";-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;7
"421230 Paulo Lopes";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;5
"421240 Pedras Grandes";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;8
"421250 Penha";-;-;-;-;-;9;-;2;15;-;-;-;1;-;-;-;2;-;-;-;1;-;2;1;-;-;-;-;-;33
"421260 Peritiba";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"421270 Petrolândia";-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;9
"421290 Pinhalzinho";-;-;-;-;-;3;-;3;42;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;1;-;53
"421300 Pinheiro Preto";-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;4
"421310 Piratuba";-;-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;-;8
"421315 Planalto Alegre";-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;6
"421320 Pomerode";-;-;-;1;-;8;-;11;25;-;-;-;1;-;-;2;-;-;-;-;1;-;3;-;-;1;-;-;-;53
"421330 Ponte Alta";-;-;-;-;-;1;-;1;2;-;-;-;1;-;-;-;3;-;-;-;1;-;1;-;-;-;-;-;-;10
"421335 Ponte Alta do Norte";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"421340 Ponte Serrada";-;-;-;-;-;1;-;4;5;-;-;-;1;-;-;-;3;-;-;-;1;-;4;-;-;1;-;-;-;20
"421350 Porto Belo";-;-;-;-;-;6;-;2;5;-;-;-;-;-;-;3;1;-;-;-;1;-;1;-;-;-;-;-;-;19
"421360 Porto União";-;-;-;1;-;4;-;11;49;-;-;-;1;-;-;1;7;1;-;-;1;-;4;-;-;1;-;-;-;81
"421370 Pouso Redondo";-;-;-;-;-;5;-;2;5;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;1;-;-;-;17
"421380 Praia Grande";-;-;-;-;-;2;-;-;5;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;10
"421390 Presidente Castello Branco";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;3
"421400 Presidente Getúlio";-;-;-;-;-;7;-;3;10;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;23
"421410 Presidente Nereu";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"421415 Princesa";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;3
"421420 Quilombo";-;-;-;1;-;2;-;2;7;-;-;-;1;-;-;-;2;-;-;-;1;-;3;-;-;1;-;-;-;20
"421430 Rancho Queimado";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;5
"421440 Rio das Antas";-;-;-;-;-;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;7
"421450 Rio do Campo";-;-;-;-;-;2;-;-;2;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;7
"421460 Rio do Oeste";-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;7
"421480 Rio do Sul";-;-;-;1;-;16;-;39;145;-;-;-;2;-;-;1;-;-;-;-;2;-;15;-;-;1;-;2;-;224
"421470 Rio dos Cedros";-;-;-;-;-;1;-;-;3;-;1;-;1;-;-;-;3;-;-;-;1;-;2;-;-;-;-;-;-;12
"421490 Rio Fortuna";-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;5
"421500 Rio Negrinho";-;-;-;1;-;9;-;3;50;-;-;-;1;-;-;-;3;-;-;-;1;-;12;-;-;1;-;-;-;81
"421505 Rio Rufino";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"421507 Riqueza";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;5
"421510 Rodeio";-;-;-;-;-;2;-;3;7;-;-;-;-;-;-;1;4;-;-;-;1;-;3;-;-;-;-;-;-;21
"421520 Romelândia";-;-;1;-;-;1;-;3;4;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;11
"421530 Salete";-;-;-;-;-;3;-;-;4;-;-;-;1;-;-;-;5;-;-;-;1;-;3;-;-;-;-;-;-;17
"421535 Saltinho";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"421540 Salto Veloso";-;-;-;-;-;1;-;1;6;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;11
"421545 Sangão";-;-;-;-;-;5;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;9
"421550 Santa Cecília";-;-;-;-;-;1;-;3;1;-;-;-;2;-;-;2;9;-;-;-;1;-;-;-;-;-;-;-;-;19
"421555 Santa Helena";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;3
"421560 Santa Rosa de Lima";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"421565 Santa Rosa do Sul";-;-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;10
"421567 Santa Terezinha";-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"421568 Santa Terezinha do Progresso";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"421569 Santiago do Sul";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"421570 Santo Amaro da Imperatriz";-;-;-;-;-;3;-;2;15;-;-;-;1;-;-;1;-;-;-;-;1;-;3;-;-;2;-;-;-;28
"421580 São Bento do Sul";-;-;-;1;-;7;-;37;91;-;1;1;1;-;-;1;10;-;-;-;1;-;13;2;-;2;-;3;-;171
"421575 São Bernardino";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"421590 São Bonifácio";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;5
"421600 São Carlos";-;-;-;-;-;3;-;3;9;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;19
"421605 São Cristovão do Sul";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"421610 São Domingos";-;-;-;-;-;3;-;2;5;-;-;-;-;-;-;-;5;-;-;-;1;-;3;-;-;1;-;-;-;20
"421620 São Francisco do Sul";-;-;-;1;-;9;-;3;29;-;-;-;1;-;-;1;11;1;-;-;1;-;11;-;-;2;-;-;-;70
"421630 São João Batista";-;-;-;-;-;3;-;5;10;-;-;-;1;-;-;-;6;-;-;-;1;-;-;-;-;1;-;-;-;27
"421635 São João do Itaperiú";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"421625 São João do Oeste";-;-;-;-;-;1;-;1;2;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;8
"421640 São João do Sul";-;-;-;-;-;4;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;8
"421650 São Joaquim";-;-;-;1;-;2;-;2;24;-;-;-;1;-;-;-;4;-;-;-;2;-;4;-;-;-;-;-;-;40
"421660 São José";-;-;-;-;-;19;1;30;46;-;-;4;2;-;-;5;3;-;-;-;2;-;22;1;-;3;-;2;-;140
"421670 São José do Cedro";-;-;-;-;-;4;-;3;12;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;23
"421680 São José do Cerrito";-;-;-;-;-;2;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;7
"421690 São Lourenço do Oeste";-;-;-;1;-;7;-;6;39;-;-;-;1;-;-;-;-;-;-;-;2;-;4;-;-;1;-;-;-;61
"421700 São Ludgero";-;-;-;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;8
"421710 São Martinho";-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;8
"421715 São Miguel da Boa Vista";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"421720 São Miguel do Oeste";-;-;-;1;-;10;-;17;85;-;-;-;3;-;-;-;-;-;-;-;2;-;15;-;-;1;-;-;-;134
"421725 São Pedro de Alcântara";-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"421730 Saudades";-;-;-;-;-;2;-;-;7;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;11
"421740 Schroeder";-;-;-;-;-;5;-;1;6;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;-;-;-;1;-;17
"421750 Seara";-;-;-;-;-;6;-;1;17;-;-;-;1;-;-;-;6;-;-;-;2;-;4;1;-;-;-;-;-;38
"421755 Serra Alta";-;-;-;-;-;1;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;8
"421760 Siderópolis";-;-;-;1;-;5;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;-;-;-;-;-;11
"421770 Sombrio";-;-;-;-;-;5;-;8;10;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;26
"421775 Sul Brasil";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"421780 Taió";-;-;-;-;-;7;-;4;12;-;-;-;1;-;-;-;-;1;-;-;2;-;2;-;-;-;-;-;-;29
"421790 Tangará";-;-;-;-;-;1;-;3;4;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;11
