CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2017
"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"250070 São João do Rio do Peixe";-;1;-;1;-;1;-;8;-;3;2;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;2;1;-;1;-;-;-;-;23
"251410 São João do Tigre";2;-;-;1;-;-;-;2;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"251420 São José da Lagoa Tapada";-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;1;-;2;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;10
"251430 São José de Caiana";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;4
"251440 São José de Espinharas";-;-;-;1;-;-;-;2;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;9
"251450 São José de Piranhas";-;-;-;-;-;1;-;10;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;4;1;-;1;-;-;-;-;20
"251455 São José de Princesa";-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;6
"251460 São José do Bonfim";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;5
"251465 São José do Brejo do Cruz";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"251470 São José do Sabugi";-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;7
"251480 São José dos Cordeiros";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;4
"251445 São José dos Ramos";1;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"251490 São Mamede";2;-;-;-;-;-;-;4;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;-;-;12
"251500 São Miguel de Taipu";-;-;-;1;-;-;-;4;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;9
"251510 São Sebastião de Lagoa de Roça";-;1;-;1;-;1;-;5;-;2;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;3;3;-;1;-;-;-;-;20
"251520 São Sebastião do Umbuzeiro";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;7
"251540 São Vicente do Seridó";-;-;-;1;-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;1;1;1;-;-;-;-;14
"251530 Sapé";-;1;-;-;-;3;-;19;-;4;1;-;-;-;1;-;-;-;2;-;2;-;-;-;1;-;-;-;6;1;-;2;-;1;-;-;44
"251550 Serra Branca";-;-;-;1;-;1;-;5;-;2;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;1;-;-;-;-;18
"251560 Serra da Raiz";1;-;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"251570 Serra Grande";-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;1;1;-;-;-;-;9
"251580 Serra Redonda";-;-;-;-;-;-;-;4;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;10
"251590 Serraria";-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;11
"251593 Sertãozinho";1;-;-;1;-;-;-;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;8
"251597 Sobrado";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"251600 Solânea";1;1;-;1;-;1;-;10;-;6;9;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;6;-;1;2;-;-;-;-;41
"251610 Soledade";-;-;-;1;-;1;-;6;-;2;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;2;1;-;2;-;-;-;-;18
"251615 Sossêgo";1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;7
"251620 Sousa";2;-;1;5;1;3;-;26;-;17;29;-;1;2;3;-;-;-;1;-;2;1;-;-;1;-;-;-;23;1;-;6;-;-;-;-;125
"251630 Sumé";2;-;-;1;-;1;-;6;-;5;5;-;1;-;1;-;-;-;-;1;11;-;-;-;1;-;-;-;4;1;-;1;-;-;-;-;41
"251640 Tacima";1;1;-;1;-;-;-;2;-;1;-;-;-;-;-;-;-;1;-;-;5;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;15
"251650 Taperoá";1;-;-;1;-;1;-;8;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;1;-;1;-;-;-;-;20
"251660 Tavares";2;-;-;1;-;-;-;7;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;16
"251670 Teixeira";-;-;-;1;-;1;-;7;-;2;-;-;1;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;-;18
"251675 Tenório";1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;6
"251680 Triunfo";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;9
"251690 Uiraúna";1;-;-;-;-;1;-;2;-;2;-;-;-;-;2;-;-;-;-;-;10;-;-;-;1;-;-;-;7;-;-;3;-;-;-;-;29
"251700 Umbuzeiro";1;-;-;1;-;1;-;6;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;3;-;1;-;-;-;-;18
"251710 Várzea";-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"251720 Vieirópolis";-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;1;-;2;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;9
"250550 Vista Serrana";1;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4;1;-;-;-;-;-;-;10
"251740 Zabelê";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"260005 Abreu e Lima";2;1;-;5;-;3;-;30;-;14;16;-;1;-;2;-;-;-;-;-;6;-;-;-;1;-;-;-;4;-;-;2;-;1;-;-;88
"260010 Afogados da Ingazeira";1;1;-;1;-;2;-;17;-;15;10;-;1;-;3;-;-;1;-;-;3;-;-;-;2;-;-;-;3;-;-;-;-;-;-;-;60
"260020 Afrânio";2;-;-;-;-;1;-;8;-;4;-;-;1;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;1;-;-;1;-;-;24
"260030 Agrestina";1;-;-;2;-;1;-;2;-;4;3;-;-;1;1;-;-;-;-;-;15;1;-;-;1;-;-;-;1;1;-;1;-;-;-;-;35
"260040 Água Preta";-;-;-;2;-;1;-;14;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;23
"260050 Águas Belas";1;-;-;2;-;1;-;13;-;2;1;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;3;-;1;-;-;1;-;2;-;-;30
"260060 Alagoinha";1;1;-;1;-;-;-;7;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;14
"260070 Aliança";1;-;-;2;-;1;-;14;-;2;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;25
"260080 Altinho";-;-;-;1;-;1;-;8;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;18
"260090 Amaraji";-;-;-;1;-;-;-;9;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;1;-;-;16
"260100 Angelim";3;-;-;1;-;2;-;6;-;2;-;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;19
"260105 Araçoiaba";-;-;-;1;-;1;-;8;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;17
"260110 Araripina";-;1;-;1;-;1;-;20;-;18;4;-;-;-;2;-;-;-;2;-;2;-;-;-;1;-;-;-;9;1;-;-;-;-;-;-;62
"260120 Arcoverde";-;1;-;-;1;2;-;26;-;31;23;-;-;-;2;-;-;1;1;-;5;2;-;-;2;-;-;-;16;-;-;-;-;1;-;-;114
"260130 Barra de Guabiraba";1;-;-;1;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;13
"260140 Barreiros";-;-;-;1;-;1;-;12;1;5;-;-;-;1;2;-;-;-;2;-;-;-;-;-;1;-;-;-;4;-;-;1;-;-;-;-;31
"260150 Belém de Maria";-;-;-;1;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;1;1;-;1;-;-;12
"260160 Belém do São Francisco";2;-;-;-;-;-;-;8;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;15
"260170 Belo Jardim";2;-;-;1;-;1;-;15;-;12;14;-;1;-;2;-;-;1;2;-;8;1;-;-;1;-;-;-;4;-;-;1;-;-;-;-;66
"260180 Betânia";1;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;1;-;-;16
"260190 Bezerros";1;-;-;1;-;1;-;19;-;9;16;-;2;-;2;-;-;-;1;-;3;-;-;-;1;-;-;-;8;-;-;2;-;-;-;-;66
"260200 Bodocó";-;-;-;-;-;1;-;11;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;6;-;-;-;-;-;-;-;22
"260210 Bom Conselho";4;-;-;1;-;1;-;14;-;3;15;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;4;-;-;1;-;-;-;-;49
"260220 Bom Jardim";1;-;-;2;-;-;-;13;-;1;-;-;2;-;1;-;-;-;-;-;7;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;29
"260230 Bonito";1;-;-;1;-;-;-;12;-;1;1;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;22
"260240 Brejão";1;-;-;-;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;14
"260250 Brejinho";1;-;-;1;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;9
"260260 Brejo da Madre de Deus";2;1;-;1;-;-;-;13;-;5;-;-;1;-;1;-;-;-;2;-;-;1;-;-;1;-;-;-;1;-;-;2;-;-;-;1;32
"260270 Buenos Aires";1;-;-;1;-;-;-;6;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;13
"260280 Buíque";-;-;-;-;-;1;-;11;-;3;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;3;-;2;-;1;-;-;1;-;-;25
"260290 Cabo de Santo Agostinho";3;1;-;-;-;3;-;44;-;53;39;-;-;2;6;-;-;-;3;-;2;3;-;-;1;-;-;-;13;1;-;6;-;-;-;-;180
"260300 Cabrobó";3;-;-;2;-;1;-;10;-;2;5;-;-;-;1;-;-;-;1;-;1;1;-;-;1;-;8;-;1;-;-;-;-;-;-;-;37
"260310 Cachoeirinha";1;-;-;1;-;-;-;-;-;3;2;-;-;-;-;-;-;-;1;-;7;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;17
"260320 Caetés";1;-;-;1;-;1;-;9;-;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;18
"260330 Calçado";1;-;-;1;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;2;-;-;11
"260340 Calumbi";1;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;8
"260345 Camaragibe";1;-;-;-;-;3;-;45;-;16;11;-;1;3;-;-;-;-;4;-;-;-;-;-;1;-;1;-;4;-;-;2;-;1;-;-;93
"260350 Camocim de São Félix";1;-;-;1;-;-;-;2;-;1;1;-;-;-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;1;1;1;1;-;-;-;-;17
"260360 Camutanga";1;1;-;2;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;12
"260370 Canhotinho";1;-;-;1;-;1;-;11;-;3;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;22
"260380 Capoeiras";-;1;-;1;-;1;-;9;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;16
"260390 Carnaíba";2;1;-;1;-;1;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;19
"260392 Carnaubeira da Penha";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;6;-;-;1;1;-;-;1;-;-;12
"260400 Carpina";1;1;-;3;-;1;-;18;-;22;19;-;1;-;1;-;1;-;1;-;2;-;-;-;1;-;-;-;11;-;1;2;-;-;-;-;86
"260410 Caruaru";3;1;1;-;1;2;-;65;1;123;239;4;3;1;8;2;-;1;2;-;1;5;1;1;2;2;-;-;39;2;-;7;-;-;-;-;517
"260415 Casinhas";1;-;-;1;-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;15
"260420 Catende";-;-;-;1;-;1;-;11;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;17
"260430 Cedro";1;-;-;1;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;10
"260440 Chã de Alegria";-;-;-;1;-;-;-;6;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;13
"260450 Chã Grande";1;-;-;1;-;1;-;8;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;16
"260460 Condado";-;-;-;1;-;-;-;9;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;-;15
"260470 Correntes";1;-;-;1;-;1;-;7;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;15
"260480 Cortês";1;-;-;1;-;-;-;7;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;13
"260490 Cumaru";1;-;-;1;-;-;-;7;-;-;1;-;-;-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;20
"260500 Cupira";1;-;-;1;-;1;-;10;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;-;1;-;-;-;-;21
"260510 Custódia";1;-;-;1;-;1;-;11;-;3;2;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;5;-;1;-;-;-;-;-;30
"260515 Dormentes";2;-;-;-;-;1;-;7;-;4;3;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;20
"260520 Escada";-;-;-;2;-;-;-;6;-;2;-;-;-;-;2;-;-;-;-;-;17;-;-;-;1;-;-;-;2;-;-;1;-;-;-;-;33
"260530 Exu";2;-;-;1;-;1;-;13;-;1;-;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;23
"260540 Feira Nova";1;1;-;1;-;1;-;8;-;3;1;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;19
"260545 Fernando de Noronha";-;-;-;1;-;-;-;2;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;8
"260550 Ferreiros";1;-;-;1;-;1;-;6;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;14
"260560 Flores";1;-;-;1;-;-;-;9;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;14
"260570 Floresta";1;-;-;-;-;1;-;7;-;-;3;-;-;-;2;-;-;-;-;-;2;-;-;-;1;-;4;-;-;-;-;-;-;-;-;-;21
"260580 Frei Miguelinho";-;-;-;1;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;12
"260590 Gameleira";-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;8;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;15
"260600 Garanhuns";2;1;-;2;1;4;-;40;1;29;185;1;1;2;4;1;-;1;1;-;3;-;-;-;2;1;-;-;25;1;-;2;-;-;-;2;312
"260610 Glória do Goitá";1;-;-;1;-;1;-;9;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;17
"260620 Goiana";12;1;-;4;-;1;-;26;-;13;11;-;1;-;3;-;-;-;2;-;3;-;-;-;4;-;-;-;9;-;2;5;-;-;-;-;97
"260630 Granito";2;-;-;1;-;-;-;3;-;2;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"260640 Gravatá";-;1;-;-;-;2;-;20;-;9;27;-;2;-;1;-;-;-;1;-;-;-;-;-;2;-;-;-;8;-;-;4;-;-;-;-;77
"260650 Iati";-;-;-;-;-;-;-;8;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;12
"260660 Ibimirim";2;-;-;1;-;1;-;13;-;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;2;-;1;-;-;-;-;-;-;-;25
"260670 Ibirajuba";2;-;-;1;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;1;-;-;-;-;11
"260680 Igarassu";-;-;-;2;-;1;-;1;-;12;5;-;-;2;1;-;-;-;4;-;35;1;-;-;1;-;-;-;7;-;-;4;-;-;1;-;77
"260690 Iguaracy";1;-;-;1;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;8
"260760 Ilha de Itamaracá";-;-;-;1;-;1;-;12;-;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;23
"260700 Inajá";1;-;-;-;-;1;-;6;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;3;-;-;-;-;-;-;-;-;-;17
"260710 Ingazeira";2;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;7
"260720 Ipojuca";1;1;-;1;-;2;-;18;-;10;26;-;1;-;1;-;-;-;4;-;2;6;-;-;1;-;-;-;8;5;1;4;-;2;-;-;94
"260730 Ipubi";1;-;-;2;-;1;-;11;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;21
"260740 Itacuruba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;3
"260750 Itaíba";1;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;15
"260765 Itambé";-;1;-;2;-;1;-;14;-;3;-;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;26
"260770 Itapetim";3;-;-;1;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;1;-;-;-;-;-;16
"260775 Itapissuma";2;-;-;1;-;1;-;9;-;5;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;2;-;-;-;-;25
"260780 Itaquitinga";1;-;-;1;-;1;-;7;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;13
"260790 Jaboatão dos Guararapes";4;1;-;-;-;3;-;118;-;48;153;-;2;-;7;-;-;1;13;-;-;5;-;-;8;1;-;-;24;-;-;11;-;2;1;-;402
"260795 Jaqueira";-;-;-;1;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;10
"260800 Jataúba";-;-;-;1;-;1;-;6;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;13
"260805 Jatobá";1;-;-;-;-;-;-;4;-;2;3;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;15
"260810 João Alfredo";1;-;-;2;-;1;-;11;-;1;-;-;1;-;1;-;-;-;1;-;2;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;25
"260820 Joaquim Nabuco";-;-;-;1;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;12
"260825 Jucati";1;-;-;1;-;1;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;11
"260830 Jupi";1;-;-;-;-;-;-;7;-;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;15
"260840 Jurema";-;-;-;1;-;-;-;7;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;12
"260850 Lagoa de Itaenga";-;-;-;1;-;1;-;9;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;18
"260845 Lagoa do Carro";1;-;-;1;-;1;-;6;-;-;-;-;1;-;-;-;-;-;1;-;4;-;-;-;1;-;-;-;2;1;1;1;-;-;-;-;21
"260860 Lagoa do Ouro";1;1;-;1;-;1;-;7;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;17
"260870 Lagoa dos Gatos";-;-;-;1;-;-;-;5;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;12
"260875 Lagoa Grande";1;1;-;-;-;1;-;10;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;1;-;-;19
"260880 Lajedo";1;1;-;1;-;1;-;10;-;2;8;-;1;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;2;-;-;1;-;-;-;-;32
"260890 Limoeiro";3;1;-;2;1;1;-;20;-;23;20;-;-;-;3;-;-;2;2;-;5;-;-;-;2;-;-;-;13;-;-;2;-;-;-;-;100
"260900 Macaparana";-;-;-;1;-;-;-;11;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;17
"260910 Machados";-;-;-;1;-;-;-;5;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"260915 Manari";1;-;-;-;-;1;-;7;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;13
"260920 Maraial";-;-;-;1;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;8
"260930 Mirandiba";-;-;-;1;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;9
"261430 Moreilândia";-;-;-;-;-;-;-;6;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9
"260940 Moreno";-;1;-;1;-;1;-;14;-;6;1;-;2;-;1;-;-;-;-;-;2;1;-;-;1;-;-;-;2;-;-;1;-;-;-;-;34
"260950 Nazaré da Mata";1;-;-;2;-;1;-;14;-;-;-;-;1;-;1;-;-;-;1;-;2;-;-;-;1;-;-;-;3;-;-;1;-;-;-;-;28
