CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Município e Ocupações de Nível Superior
Período:Dez/2010
"Município";"Anestesista";"Assistente Social";"Bioquímico/farmacêutico";"Cirurgião Geral";"Clínico Geral";"Enfermeiro";"Fisioterapeuta";"Fonoaudiólogo";"Gineco Obstetra";"Médico de Família";"Nutricionista";"Odontólogo";"Pediatra";"Psicólogo";"Psiquiatra";"Radiologista";"Sanitarista";"Outras especialidades médicas";"Outras ocupações de nível superior relac à Saúde";"Total"
"314670 Palma";-;-;3;-;3;5;2;1;-;1;1;6;1;1;-;-;-;-;1;25
"314675 Palmópolis";-;-;1;-;1;3;3;-;-;2;-;2;-;-;-;-;-;1;-;13
"314690 Papagaios";-;-;3;1;1;8;1;-;1;3;-;10;2;-;-;-;-;-;-;30
"314710 Pará de Minas";4;9;10;6;24;43;15;5;5;7;6;62;5;30;1;-;-;15;13;260
"314700 Paracatu";3;7;11;9;41;32;13;6;3;7;5;56;8;15;-;2;-;24;8;250
"314720 Paraguaçu";1;1;3;3;2;9;3;1;-;3;-;10;-;2;-;-;-;-;4;42
"314730 Paraisópolis";1;1;7;3;11;8;7;4;2;3;1;21;2;6;1;-;-;10;4;92
"314740 Paraopeba";4;-;4;1;4;7;5;1;-;4;1;6;1;3;-;-;-;1;-;42
"314760 Passa Quatro";-;3;4;2;4;12;5;2;-;5;2;12;1;4;-;1;-;2;16;75
"314770 Passa Tempo";-;-;1;-;4;6;-;-;-;1;-;2;-;-;-;-;-;-;-;14
"314780 Passa-Vinte";-;1;2;-;3;2;1;-;-;-;1;2;1;1;-;-;-;1;-;15
"314750 Passabém";-;-;1;-;1;3;1;1;-;-;1;2;-;1;-;-;-;-;-;11
"314790 Passos";8;22;36;48;47;94;43;16;5;7;16;52;8;32;4;7;-;67;50;562
"314795 Patis";-;-;-;-;1;2;1;-;-;1;-;2;-;-;-;-;-;-;-;7
"314800 Patos de Minas";12;12;38;15;73;131;76;12;19;14;14;188;20;49;2;9;-;78;18;780
"314810 Patrocínio";3;8;15;7;13;56;51;7;7;10;5;78;2;14;-;4;-;23;38;341
"314820 Patrocínio do Muriaé";-;-;1;-;2;2;1;-;-;2;1;5;-;-;-;-;-;-;-;14
"314830 Paula Cândido";-;-;2;1;5;5;1;1;-;1;1;5;-;1;-;-;-;-;-;23
"314840 Paulistas";-;-;-;-;1;3;-;-;1;-;-;3;-;-;-;-;-;-;-;8
"314850 Pavão";1;-;2;-;2;5;1;-;-;1;-;3;-;-;-;-;-;-;-;15
"314860 Peçanha";1;-;2;3;3;7;-;-;-;-;-;9;-;-;-;-;-;-;-;25
"314870 Pedra Azul";7;1;7;1;1;14;7;1;1;4;-;10;-;1;-;1;-;1;-;57
"314875 Pedra Bonita";-;-;1;-;2;3;1;1;-;1;-;3;-;-;-;-;-;-;-;12
"314880 Pedra do Anta";-;-;1;-;1;2;-;-;-;-;1;2;-;-;-;-;-;-;-;7
"314890 Pedra do Indaiá";-;-;1;-;1;3;2;1;-;1;1;3;-;2;-;-;-;-;-;15
"314900 Pedra Dourada";-;-;1;-;1;1;1;-;-;1;-;3;-;-;-;-;-;-;-;8
"314910 Pedralva";-;1;2;1;2;7;2;1;-;2;1;3;-;2;-;-;-;-;-;24
"314915 Pedras de Maria da Cruz";-;1;-;-;-;5;-;-;-;-;-;5;-;-;-;-;-;-;1;12
"314920 Pedrinópolis";-;-;3;-;8;2;1;1;-;-;-;5;-;-;-;-;-;-;-;20
"314930 Pedro Leopoldo";6;2;7;7;39;36;12;6;5;7;6;51;6;19;1;3;-;20;9;242
"314940 Pedro Teixeira";-;1;1;-;1;2;2;1;-;-;1;1;-;1;-;-;-;-;-;11
"314950 Pequeri";-;-;1;-;1;3;-;-;-;1;-;1;-;2;-;-;-;-;-;9
"314960 Pequi";-;-;2;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;5
"314970 Perdigão";-;-;3;-;-;4;2;-;-;1;-;2;-;1;-;-;-;1;-;14
"314980 Perdizes";-;1;5;2;2;10;11;1;1;2;1;14;1;1;-;2;-;-;1;55
"314990 Perdões";-;2;5;1;11;7;7;1;-;-;1;17;1;9;-;1;-;-;3;66
"314995 Periquito";-;1;2;-;-;4;2;-;-;1;1;4;-;2;-;-;-;-;1;18
"315000 Pescador";-;-;1;-;-;1;1;-;-;1;-;2;-;-;-;-;-;-;-;6
"315010 Piau";-;1;1;-;-;-;-;-;-;-;-;4;-;1;-;-;-;-;-;7
"315015 Piedade de Caratinga";-;1;2;-;1;4;2;-;-;2;-;4;-;1;-;-;-;-;-;17
"315020 Piedade de Ponte Nova";-;-;1;-;1;3;3;-;-;1;1;4;-;-;-;-;-;-;-;14
"315030 Piedade do Rio Grande";-;1;3;-;4;3;1;-;-;-;-;2;1;1;-;-;-;-;-;16
"315040 Piedade dos Gerais";-;-;2;-;-;3;1;-;-;-;-;2;-;-;-;-;-;-;-;8
"315050 Pimenta";-;-;5;-;4;4;2;1;-;1;3;4;-;2;-;-;-;-;1;27
"315053 Pingo-d'Água";-;-;-;-;-;2;-;-;-;-;-;2;-;-;-;-;-;-;-;4
"315057 Pintópolis";-;-;1;-;-;2;-;-;-;3;-;2;-;-;-;-;-;-;-;8
"315060 Piracema";-;-;3;-;1;4;1;1;-;1;-;6;-;-;-;-;-;-;-;17
"315070 Pirajuba";-;-;1;-;3;2;1;-;-;1;-;2;-;1;-;-;-;-;1;12
"315080 Piranga";-;2;3;-;3;9;2;1;-;4;1;7;-;4;-;-;-;3;5;44
"315090 Piranguçu";-;1;1;-;-;3;1;-;-;-;1;3;-;1;-;-;-;1;-;12
"315100 Piranguinho";-;-;3;-;1;5;1;-;-;3;-;4;1;1;-;-;-;-;-;19
"315110 Pirapetinga";3;-;6;3;4;5;5;1;2;1;1;6;1;1;-;2;-;5;-;46
"315120 Pirapora";3;4;12;4;10;26;13;3;3;7;6;22;3;10;2;-;-;8;9;145
"315130 Piraúba";-;1;3;-;5;4;6;5;1;-;-;5;-;3;1;-;-;2;8;44
"315140 Pitangui";1;1;3;11;4;9;6;2;-;1;-;9;-;1;-;-;-;1;-;49
"315150 Piumhi";3;5;10;9;13;17;17;5;-;1;4;30;1;9;-;-;-;6;15;145
"315160 Planura";-;-;1;-;4;6;-;-;-;-;-;5;1;1;-;2;-;-;-;20
"315170 Poço Fundo";-;-;5;1;9;11;4;1;-;-;2;11;1;3;-;-;-;-;2;50
"315180 Poços de Caldas";15;10;38;41;100;92;111;22;15;23;21;226;15;71;5;5;-;108;36;954
"315190 Pocrane";-;-;1;-;3;4;1;-;-;-;-;2;-;-;-;-;-;-;-;11
"315200 Pompéu";2;-;5;3;7;13;4;-;-;3;2;10;1;2;-;-;-;1;-;53
"315210 Ponte Nova";4;9;19;34;33;47;23;8;1;1;10;69;4;13;-;3;-;36;11;325
"315213 Ponto Chique";-;-;1;-;1;2;1;-;-;1;1;2;-;-;-;-;-;-;-;9
"315217 Ponto dos Volantes";-;1;1;-;-;7;-;-;-;3;-;6;-;1;-;-;-;-;-;19
"315220 Porteirinha";1;1;5;3;3;27;5;1;-;6;4;20;-;3;-;-;-;-;2;81
"315230 Porto Firme";-;-;-;-;4;7;-;-;-;1;-;4;-;-;-;-;-;-;-;16
"315240 Poté";-;1;3;-;5;8;1;-;-;-;-;5;-;1;-;-;-;-;-;24
"315250 Pouso Alegre";10;13;44;12;60;122;57;21;19;15;19;106;22;38;3;10;-;147;49;767
"315260 Pouso Alto";-;-;2;-;1;3;3;-;-;-;-;5;-;3;-;-;-;-;1;18
"315270 Prados";-;1;4;-;1;5;3;1;1;-;1;5;-;3;-;1;-;1;2;29
"315280 Prata";1;3;2;3;9;7;6;5;1;1;1;14;1;7;-;-;-;2;5;68
"315290 Pratápolis";-;-;3;-;2;5;3;-;-;4;1;4;-;2;-;-;-;1;1;26
"315300 Pratinha";-;-;1;-;1;4;1;-;-;1;-;2;-;-;-;-;-;-;-;10
"315310 Presidente Bernardes";-;-;1;-;3;3;2;-;-;2;-;2;-;-;-;-;-;-;-;13
"315320 Presidente Juscelino";-;-;-;-;-;2;-;-;-;2;-;2;-;1;-;-;-;-;1;8
"315330 Presidente Kubitschek";-;-;2;-;-;3;-;-;-;1;1;3;-;1;-;-;-;-;-;11
"315340 Presidente Olegário";-;2;2;-;4;4;3;-;-;1;1;1;-;2;-;-;-;-;3;23
"315360 Prudente de Morais";-;-;2;-;3;4;-;-;-;4;-;4;-;1;-;-;-;1;1;20
"315370 Quartel Geral";-;-;1;-;-;1;3;-;-;1;-;1;-;1;-;-;-;-;-;8
"315380 Queluzito";-;1;1;-;-;2;-;-;-;1;-;1;-;1;-;-;-;-;2;9
"315390 Raposos";-;-;1;1;2;1;3;2;-;-;1;5;-;4;-;-;-;-;2;22
"315400 Raul Soares";-;2;6;4;7;11;5;1;-;2;1;13;-;4;-;-;-;2;3;61
"315410 Recreio";-;-;3;-;6;4;2;-;1;1;-;4;-;-;-;-;-;-;-;21
"315415 Reduto";-;1;1;-;3;4;-;-;-;-;1;3;-;1;-;-;-;-;-;14
"315420 Resende Costa";3;-;1;1;2;5;2;1;-;-;1;4;1;1;-;1;-;1;1;25
"315430 Resplendor";1;2;5;-;8;16;2;1;-;4;1;5;-;4;-;-;-;-;-;49
"315440 Ressaquinha";-;-;1;-;-;1;2;1;-;2;-;2;-;1;-;-;-;-;-;10
"315445 Riachinho";-;-;1;-;2;4;1;-;-;-;-;4;-;1;-;-;-;-;1;14
"315450 Riacho dos Machados";-;-;2;1;1;5;-;-;-;2;-;3;-;-;-;-;-;-;-;14
"315460 Ribeirão das Neves";3;18;16;6;55;104;15;2;2;19;2;52;15;44;7;-;-;6;7;373
"315470 Ribeirão Vermelho";-;-;2;-;1;2;1;-;-;-;-;1;-;-;-;-;-;-;-;7
"315480 Rio Acima";-;1;1;-;8;5;4;-;-;1;-;3;1;2;-;-;-;-;1;27
"315490 Rio Casca";1;1;6;3;4;7;5;1;-;1;2;14;-;2;-;-;-;2;2;51
"315510 Rio do Prado";-;-;1;-;1;3;1;-;-;1;-;2;-;1;-;-;-;-;-;10
"315500 Rio Doce";-;-;1;-;-;2;1;-;-;-;-;2;-;-;-;-;-;-;-;6
"315520 Rio Espera";-;-;2;-;2;3;1;1;-;-;1;3;-;1;-;-;-;-;-;14
"315530 Rio Manso";-;-;2;-;-;2;1;-;-;1;-;1;-;1;-;-;-;-;-;8
"315540 Rio Novo";-;1;4;-;4;3;1;1;-;2;-;5;-;2;1;-;-;-;-;24
"315550 Rio Paranaíba";-;-;3;-;2;6;3;-;-;1;1;2;-;-;-;-;-;-;-;18
"315560 Rio Pardo de Minas";2;1;3;-;6;11;3;3;-;2;1;10;-;1;-;-;-;-;-;43
"315570 Rio Piracicaba";1;1;3;2;2;5;2;-;-;1;-;4;-;-;-;-;-;1;-;22
"315580 Rio Pomba";1;2;4;2;3;3;5;2;1;2;2;7;-;4;1;1;-;2;-;42
"315590 Rio Preto";1;1;2;1;2;3;3;1;2;2;-;5;1;-;-;2;-;-;1;27
"315600 Rio Vermelho";2;1;1;-;3;6;1;1;-;-;1;4;-;-;-;-;-;-;-;20
"315610 Ritápolis";-;1;-;-;2;2;3;3;-;-;-;3;1;1;-;-;-;-;2;18
"315620 Rochedo de Minas";-;1;1;-;-;1;1;-;-;-;-;1;-;1;-;-;-;1;-;7
"315630 Rodeiro";-;-;2;-;-;3;4;1;-;1;1;4;-;1;-;-;-;4;-;21
"315640 Romaria";-;1;1;-;1;4;-;1;-;-;1;4;-;-;1;-;-;-;9;23
"315645 Rosário da Limeira";-;-;1;-;-;3;2;-;-;1;1;2;-;1;-;-;-;-;-;11
"315650 Rubelita";-;1;2;-;1;6;2;-;-;1;1;1;-;1;-;-;-;-;-;16
"315660 Rubim";4;1;2;-;-;5;1;-;-;-;-;5;-;-;-;-;-;-;2;20
"315670 Sabará";-;4;7;3;27;49;18;7;2;5;4;27;5;13;2;1;-;9;5;188
"315680 Sabinópolis";1;-;2;2;3;6;2;-;-;3;-;6;-;1;-;-;-;2;-;28
"315690 Sacramento";2;5;4;4;9;18;14;3;2;4;2;37;3;7;1;-;-;4;7;126
"315700 Salinas";4;4;8;3;12;26;10;3;-;7;4;19;-;4;-;-;-;-;2;106
"315710 Salto da Divisa";-;-;3;1;-;4;-;-;1;1;-;2;-;1;-;-;-;3;-;16
"315720 Santa Bárbara";3;2;5;1;10;10;6;-;1;2;2;13;1;4;-;-;-;3;2;65
"315725 Santa Bárbara do Leste";-;-;1;-;-;4;2;-;-;2;-;2;-;-;-;-;-;-;-;11
"315727 Santa Bárbara do Monte Verde";-;-;1;-;-;2;-;-;-;1;-;6;1;-;-;-;-;-;-;11
"315730 Santa Bárbara do Tugúrio";-;-;2;-;2;2;-;1;-;1;-;3;-;1;-;-;-;-;-;12
"315733 Santa Cruz de Minas";-;-;4;-;1;1;1;1;1;1;1;3;-;1;-;-;-;-;-;15
"315737 Santa Cruz de Salinas";-;-;2;-;1;3;-;-;-;1;-;2;-;-;-;-;-;-;-;9
"315740 Santa Cruz do Escalvado";-;-;1;-;-;4;1;-;-;2;-;3;-;1;-;-;-;-;-;12
"315750 Santa Efigênia de Minas";-;-;1;-;-;1;-;-;-;1;1;1;-;1;-;-;-;-;-;6
"315760 Santa Fé de Minas";-;-;1;-;2;4;1;-;-;-;-;1;-;-;-;-;-;-;-;9
"315765 Santa Helena de Minas";-;-;1;-;-;3;-;-;-;1;-;3;-;-;-;-;-;-;-;8
"315770 Santa Juliana";-;-;3;1;2;5;2;1;-;-;1;4;-;1;-;-;-;-;1;21
"315780 Santa Luzia";-;9;13;8;92;65;18;6;4;19;7;33;5;30;1;2;-;6;7;325
"315790 Santa Margarida";-;1;4;-;5;9;2;1;-;1;-;3;-;1;-;-;-;-;1;28
"315800 Santa Maria de Itabira";-;-;3;-;1;5;2;-;-;1;-;6;-;3;-;-;-;-;-;21
"315810 Santa Maria do Salto";-;1;1;-;1;2;-;-;-;1;-;2;-;1;-;-;-;-;-;9
"315820 Santa Maria do Suaçuí";-;2;5;1;5;8;1;-;-;-;-;5;1;1;-;-;-;-;1;30
"315920 Santa Rita de Caldas";-;-;3;-;5;5;2;-;-;1;-;6;-;-;-;-;-;-;-;22
"315940 Santa Rita de Ibitipoca";-;-;-;-;1;1;-;-;-;-;-;2;-;-;-;-;-;-;-;4
"315930 Santa Rita de Jacutinga";-;-;2;-;6;5;5;1;-;2;1;4;1;3;-;-;-;1;-;31
"315935 Santa Rita de Minas";-;-;-;-;1;4;1;1;-;2;-;3;-;-;-;-;-;-;-;12
"315950 Santa Rita do Itueto";-;-;2;-;-;2;-;-;-;3;-;4;-;-;-;-;-;-;-;11
"315960 Santa Rita do Sapucaí";-;2;8;5;23;18;15;4;-;6;3;22;-;11;-;-;-;7;6;130
"315970 Santa Rosa da Serra";-;-;2;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;5
"315980 Santa Vitória";2;1;4;2;5;6;6;2;-;3;2;9;-;4;-;-;-;1;-;47
"315830 Santana da Vargem";-;1;4;1;4;3;2;1;-;-;2;6;1;1;-;-;-;1;3;30
"315840 Santana de Cataguases";-;-;1;-;-;2;-;-;-;2;-;2;-;1;-;-;-;-;-;8
"315850 Santana de Pirapama";-;-;-;-;-;3;1;-;-;-;-;3;1;1;-;-;-;-;-;9
"315860 Santana do Deserto";-;1;1;-;-;1;-;-;-;1;-;3;1;-;-;-;-;-;-;8
"315870 Santana do Garambéu";-;-;1;-;-;1;2;-;-;-;-;1;-;1;-;-;-;1;-;7
"315880 Santana do Jacaré";-;-;1;-;-;3;-;-;-;-;-;3;-;-;-;-;-;-;-;7
"315890 Santana do Manhuaçu";-;1;2;-;-;4;3;-;-;2;1;3;-;-;-;-;-;-;-;16
"315895 Santana do Paraíso";-;1;1;-;2;9;2;-;-;4;-;10;-;1;-;-;-;-;-;30
"315900 Santana do Riacho";-;-;-;-;-;2;2;-;-;2;1;4;-;1;-;-;-;-;-;12
"315910 Santana dos Montes";-;-;1;-;-;2;-;1;-;-;-;2;-;-;-;-;-;-;-;6
"315990 Santo Antônio do Amparo";-;-;4;5;6;14;6;1;-;5;2;11;1;2;-;1;-;1;2;61
"316000 Santo Antônio do Aventureiro";-;1;-;-;1;2;1;1;-;-;1;2;-;-;-;-;-;-;-;9
"316010 Santo Antônio do Grama";-;1;1;-;-;3;-;1;-;-;1;2;-;-;-;-;-;-;-;9
"316020 Santo Antônio do Itambé";-;-;1;-;-;2;1;-;-;1;-;2;-;2;-;-;-;-;-;9
"316030 Santo Antônio do Jacinto";-;1;1;-;-;5;1;-;-;5;-;4;-;1;-;-;-;-;-;18
"316040 Santo Antônio do Monte";4;4;4;4;5;23;9;1;1;5;3;19;-;6;1;1;-;3;3;96
"316045 Santo Antônio do Retiro";-;1;1;1;-;4;2;-;-;1;-;3;-;1;-;-;-;-;1;15
"316050 Santo Antônio do Rio Abaixo";-;-;1;-;-;2;1;1;-;-;1;1;-;1;-;-;-;-;-;8
"316060 Santo Hipólito";-;-;1;-;1;2;1;-;-;1;-;1;-;-;-;-;-;-;-;7
"316070 Santos Dumont";1;2;15;6;20;18;2;-;1;2;1;16;1;8;1;-;-;6;2;102
"316080 São Bento Abade";-;-;2;-;-;2;-;-;1;-;-;-;-;1;-;-;-;-;-;6
"316090 São Brás do Suaçuí";-;1;1;-;-;1;2;-;-;1;-;-;-;-;-;-;-;-;-;6
"316095 São Domingos das Dores";-;1;1;-;-;3;2;1;-;-;-;3;-;-;-;-;-;-;-;11
"316100 São Domingos do Prata";5;2;5;-;7;9;1;-;-;-;2;4;-;5;1;-;-;-;3;44
"316105 São Félix de Minas";-;1;3;-;-;3;1;1;-;1;1;1;-;3;1;-;-;-;2;18
"316110 São Francisco";1;1;6;1;10;19;5;1;-;6;2;10;1;6;-;-;-;1;2;72
"316120 São Francisco de Paula";-;1;-;-;-;3;1;-;-;2;-;3;-;1;-;-;-;-;-;11
"316130 São Francisco de Sales";-;-;4;-;2;4;2;1;-;-;1;2;-;1;-;-;-;-;1;18
"316140 São Francisco do Glória";-;-;2;-;-;5;1;-;-;1;-;4;-;-;-;-;-;-;-;13
"316150 São Geraldo";-;-;3;-;1;3;1;-;-;-;-;4;-;1;-;-;-;-;-;13
"316160 São Geraldo da Piedade";-;-;1;-;1;3;1;-;-;2;1;1;-;-;-;-;-;-;-;10
"316165 São Geraldo do Baixio";-;-;1;-;-;1;-;-;-;1;-;2;-;-;-;-;-;-;-;5
"316170 São Gonçalo do Abaeté";-;-;2;-;1;3;-;-;-;2;-;1;-;-;-;-;-;-;-;9
"316180 São Gonçalo do Pará";-;-;2;-;3;4;2;1;-;1;-;4;-;1;-;-;-;1;1;20
"316190 São Gonçalo do Rio Abaixo";-;1;1;-;13;7;3;1;-;2;1;7;-;1;-;-;-;-;2;39
"312550 São Gonçalo do Rio Preto";-;-;1;-;-;3;1;-;-;-;1;2;-;1;-;-;-;-;-;9
"316200 São Gonçalo do Sapucaí";2;1;6;8;2;9;11;1;1;-;3;19;-;6;-;-;-;2;2;73
"316210 São Gotardo";1;-;6;2;7;18;11;1;1;2;1;9;1;3;-;-;-;1;8;72
"316220 São João Batista do Glória";-;-;2;-;2;7;1;1;-;2;1;4;-;1;-;-;-;-;-;21
"316225 São João da Lagoa";-;-;1;-;1;3;-;-;-;1;-;3;-;-;-;-;-;-;-;9
"316230 São João da Mata";-;1;-;-;-;1;-;-;-;-;-;2;-;1;-;-;-;-;-;5
"316240 São João da Ponte";-;2;2;-;5;18;1;-;-;-;1;12;-;2;-;-;-;1;1;45
"316245 São João das Missões";-;-;1;-;1;6;1;-;-;1;-;4;-;-;-;-;-;-;-;14
"316250 São João del Rei";6;7;21;30;40;45;34;13;2;9;7;56;5;28;-;2;1;26;8;340
"316255 São João do Manhuaçu";-;-;1;-;-;5;3;1;-;-;-;3;-;-;-;-;-;-;-;13
"316257 São João do Manteninha";-;-;2;-;-;4;-;-;-;1;-;2;-;-;-;-;-;-;-;9
"316260 São João do Oriente";-;-;1;-;2;6;3;-;-;1;-;5;-;-;-;-;-;-;-;18
"316265 São João do Pacuí";-;-;-;-;-;2;-;-;-;1;-;2;-;-;-;-;-;-;-;5
"316270 São João do Paraíso";1;1;4;2;1;18;2;1;-;5;1;9;-;2;-;-;-;-;2;49
"316280 São João Evangelista";-;2;5;-;1;12;6;-;-;3;-;5;-;2;-;-;-;-;1;37
"316290 São João Nepomuceno";2;2;6;2;8;9;8;1;-;2;-;16;3;4;-;-;-;5;1;69
"316292 São Joaquim de Bicas";-;4;1;-;7;14;4;1;-;2;-;12;-;1;-;-;-;-;1;47
"316294 São José da Barra";-;1;1;-;7;13;2;1;-;-;-;6;-;1;-;-;-;1;-;33
"316295 São José da Lapa";-;-;2;-;15;6;-;1;-;2;1;15;1;1;-;-;-;2;1;47
"316300 São José da Safira";-;-;1;-;-;3;1;-;-;2;-;1;-;-;-;-;-;-;-;8
"316310 São José da Varginha";-;-;1;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;5
"316320 São José do Alegre";-;-;-;-;1;3;1;-;-;-;1;1;-;-;-;-;-;-;-;7
"316330 São José do Divino";-;-;2;-;1;3;1;-;-;1;-;1;-;-;-;-;-;-;-;9
"316340 São José do Goiabal";-;1;2;-;1;4;1;-;-;-;1;2;-;1;-;1;-;-;1;15
"316350 São José do Jacuri";-;-;1;-;-;5;-;-;-;1;-;1;-;-;-;-;-;-;-;8
"316360 São José do Mantimento";-;-;2;-;1;2;-;1;-;1;1;2;-;1;-;-;-;-;-;11
"316370 São Lourenço";3;6;11;12;30;33;17;5;2;7;4;43;-;16;2;2;-;34;5;232
"316380 São Miguel do Anta";-;-;1;-;3;4;2;-;-;3;-;4;-;-;-;-;-;1;-;18
"316390 São Pedro da União";-;-;3;-;3;4;1;1;-;-;1;4;-;1;-;-;-;-;-;18
"316410 São Pedro do Suaçuí";-;1;1;-;1;4;1;-;-;1;-;3;-;1;-;-;-;-;-;13
"316400 São Pedro dos Ferros";1;1;4;-;3;5;-;-;-;2;-;6;-;1;-;-;-;-;-;23
"316420 São Romão";-;-;1;-;6;6;1;-;-;1;1;4;-;1;-;-;-;-;-;21
"316430 São Roque de Minas";-;-;1;-;2;4;2;1;-;1;1;2;-;-;-;-;-;-;-;14
"316440 São Sebastião da Bela Vista";-;-;1;-;1;3;-;-;-;1;1;3;-;-;-;-;-;-;-;10
"316443 São Sebastião da Vargem Alegre";-;-;1;-;-;5;1;-;-;-;2;2;-;1;-;-;-;-;-;12
"316447 São Sebastião do Anta";-;-;1;-;-;3;2;-;-;-;-;1;-;1;-;-;-;-;-;8
"316450 São Sebastião do Maranhão";-;-;2;-;1;4;1;-;-;1;1;1;-;-;-;-;-;-;-;11
"316460 São Sebastião do Oeste";-;-;2;-;4;3;1;1;-;-;-;-;-;-;-;-;-;-;-;11
"316470 São Sebastião do Paraíso";5;14;20;12;56;63;22;11;-;9;9;33;3;21;3;-;-;26;15;322
"316480 São Sebastião do Rio Preto";-;1;1;-;-;2;1;2;-;1;-;1;-;1;-;-;-;-;-;10
"316490 São Sebastião do Rio Verde";-;-;1;-;-;1;-;1;-;1;-;1;-;2;-;-;-;-;-;7
"316520 São Thomé das Letras";-;-;2;-;1;5;3;2;-;-;1;5;-;4;-;-;-;-;-;23
"316500 São Tiago";1;-;2;-;-;4;-;-;-;2;-;2;-;-;-;-;-;-;-;11
"316510 São Tomás de Aquino";-;1;2;-;4;3;-;-;-;1;-;4;-;-;-;-;-;2;2;19
"316530 São Vicente de Minas";-;1;3;-;1;7;2;1;-;2;-;4;-;3;-;-;-;-;1;25
"316540 Sapucaí-Mirim";-;2;2;1;2;2;1;1;1;-;-;2;1;2;-;-;-;-;2;19
"316550 Sardoá";-;-;2;-;-;3;1;-;-;2;-;2;-;1;-;-;-;-;-;11
"316553 Sarzedo";-;1;3;-;8;19;4;-;-;2;1;5;1;5;-;-;-;-;2;51
"316556 Sem-Peixe";-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"316557 Senador Amaral";-;1;3;-;-;3;-;-;-;-;1;4;-;1;-;-;-;1;-;14
"316560 Senador Cortes";-;-;1;-;-;1;-;1;-;-;-;2;-;1;-;-;-;-;-;6
"316570 Senador Firmino";-;1;1;-;3;5;2;1;-;-;-;2;-;1;-;-;-;1;2;19
"316580 Senador José Bento";-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;3
"316590 Senador Modestino Gonçalves";-;-;1;-;-;2;1;-;-;-;-;2;-;-;-;-;-;-;-;6
"316600 Senhora de Oliveira";-;-;1;-;1;2;1;-;-;2;-;2;-;-;-;-;-;-;-;9
"316610 Senhora do Porto";-;-;1;-;1;3;-;-;-;2;1;1;-;-;-;-;-;-;-;9
"316620 Senhora dos Remédios";-;1;1;-;1;5;2;-;-;2;-;2;-;1;-;-;-;-;-;15
"316630 Sericita";-;1;3;-;-;4;1;1;-;2;-;4;-;1;-;-;-;-;-;17
"316640 Seritinga";-;-;1;-;2;1;1;-;-;-;-;2;-;1;-;-;-;-;-;8
"316650 Serra Azul de Minas";-;-;1;1;-;3;2;-;-;1;1;3;-;-;-;-;-;-;-;12
"316660 Serra da Saudade";-;-;1;-;-;1;2;-;-;-;-;1;-;-;-;-;-;-;-;5
"316680 Serra do Salitre";-;-;2;-;3;3;-;-;-;1;-;4;-;-;-;-;-;-;1;14
"316670 Serra dos Aimorés";-;-;3;-;-;4;1;-;-;2;-;4;-;-;-;-;-;-;-;14
"316690 Serrania";1;-;2;2;1;3;1;-;-;2;-;2;-;-;-;-;-;-;-;14
"316695 Serranópolis de Minas";-;-;-;-;1;2;1;-;-;1;-;1;-;-;-;-;-;-;-;6
"316700 Serranos";-;-;2;-;2;1;2;-;-;2;-;3;-;1;-;-;-;-;-;13
"316710 Serro";3;2;4;-;7;12;-;-;-;1;-;10;-;-;-;-;-;-;-;39
"316720 Sete Lagoas";18;22;28;55;64;98;51;23;13;21;7;118;12;53;4;8;-;68;29;692
"316555 Setubinha";-;-;1;-;1;4;1;-;-;1;-;2;-;-;-;-;-;-;-;10
"316730 Silveirânia";-;-;-;-;-;2;-;-;-;1;-;2;-;-;-;-;-;-;-;5
"316740 Silvianópolis";-;-;4;-;-;4;1;1;-;1;1;4;-;1;-;-;-;-;2;19
"316750 Simão Pereira";-;1;-;-;3;2;1;1;-;1;-;4;-;1;-;-;-;-;-;14
"316760 Simonésia";-;2;1;-;4;8;1;-;-;3;1;4;-;2;-;-;-;-;1;27
"316770 Sobrália";-;-;1;-;1;2;-;-;-;-;-;3;-;-;-;-;-;-;-;7
"316780 Soledade de Minas";-;-;2;-;-;2;-;-;-;-;-;3;-;-;-;-;-;1;-;8
"316790 Tabuleiro";-;-;-;-;-;2;-;-;-;1;-;4;-;-;-;-;-;-;-;7
"316800 Taiobeiras";-;4;6;3;6;27;8;1;-;6;2;17;1;5;1;2;-;2;6;97
"316805 Taparuba";-;-;2;-;1;2;1;-;-;-;-;2;-;-;-;-;-;-;-;8
"316810 Tapira";-;-;2;-;-;3;1;1;-;-;-;1;-;-;-;-;-;-;1;9
"316820 Tapiraí";-;-;1;-;-;2;1;1;-;-;-;1;-;1;-;-;-;-;-;7
"316830 Taquaraçu de Minas";-;-;1;-;1;2;-;-;-;1;-;1;-;-;-;-;-;-;1;7
"316840 Tarumirim";-;1;4;-;2;9;4;1;-;3;-;9;-;1;-;-;-;-;-;34
"316850 Teixeiras";-;-;1;-;3;6;4;-;-;2;1;8;-;1;-;-;-;1;-;27
"316860 Teófilo Otoni";7;12;33;37;52;125;45;6;9;6;9;111;8;16;1;6;-;28;11;522
