CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Município e Ocupações de Nível Superior
Período:Dez/2014
"Município";"Assistente Social";"Bioquímico/farmacêutico";"Cirurgião Geral";"Clínico Geral";"Enfermeiro";"Fisioterapeuta";"Fonoaudiólogo";"Gineco Obstetra";"Médico de Família";"Nutricionista";"Odontólogo";"Pediatra";"Psicólogo";"Psiquiatra";"Radiologista";"Sanitarista";"Outras especialidades médicas";"Outras ocupações de nível superior relac à Saúde";"Total"
"314980 Perdizes";2;3;-;4;12;16;1;1;1;2;15;-;1;-;2;-;-;1;61
"314990 Perdões";2;2;-;11;14;6;2;-;1;1;16;1;10;-;-;-;-;3;69
"314995 Periquito";2;2;-;-;7;2;-;-;1;1;4;-;3;-;-;-;-;-;22
"315000 Pescador";1;1;-;1;3;1;-;-;1;1;4;-;-;-;-;-;-;-;13
"315010 Piau";1;-;-;-;1;2;-;-;-;-;3;-;-;-;-;-;-;-;7
"315015 Piedade de Caratinga";2;1;-;4;5;2;-;-;3;1;5;-;3;-;-;-;-;1;27
"315020 Piedade de Ponte Nova";-;1;-;1;6;2;-;-;1;1;3;1;-;-;-;-;-;-;16
"315030 Piedade do Rio Grande";1;2;-;3;6;1;1;-;1;-;3;-;1;-;-;-;-;-;19
"315040 Piedade dos Gerais";-;-;-;-;4;1;-;-;1;-;2;-;-;-;-;-;-;-;8
"315050 Pimenta";1;3;-;3;8;2;1;-;-;1;4;-;3;-;-;-;-;-;26
"315053 Pingo-d'Água";-;-;-;-;1;-;-;-;2;-;2;-;-;-;-;-;-;-;5
"315057 Pintópolis";-;-;-;1;4;-;-;-;3;-;2;-;-;-;-;-;-;-;10
"315060 Piracema";-;-;-;-;3;2;1;-;6;-;4;1;-;-;-;-;1;-;18
"315070 Pirajuba";-;1;-;4;5;2;-;-;1;-;3;1;2;-;1;-;-;2;22
"315080 Piranga";1;2;-;2;13;3;1;-;6;2;8;2;4;-;-;-;1;4;49
"315090 Piranguçu";-;-;-;1;4;1;-;-;1;1;2;1;-;-;-;-;-;-;11
"315100 Piranguinho";1;2;-;-;8;3;-;-;3;2;4;1;2;-;-;-;1;-;27
"315110 Pirapetinga";1;2;1;6;7;4;2;1;1;1;6;1;2;-;1;-;4;-;40
"315120 Pirapora";10;8;-;12;46;24;5;3;4;8;23;6;13;1;1;-;15;8;187
"315130 Piraúba";3;1;-;-;6;6;3;-;4;-;7;1;4;1;-;-;2;7;45
"315140 Pitangui";3;3;-;12;15;2;3;-;3;2;15;1;4;-;1;-;2;-;66
"315150 Piumhi";4;6;-;26;26;20;4;-;3;6;28;4;18;-;-;-;9;8;162
"315160 Planura";1;-;-;-;9;3;1;-;4;-;6;-;3;-;-;-;-;2;29
"315170 Poço Fundo";1;2;-;6;12;5;1;-;1;2;10;-;3;-;-;-;-;1;44
"315180 Poços de Caldas";24;19;7;137;178;142;28;16;31;28;239;32;108;5;9;-;151;61;1215
"315190 Pocrane";-;-;-;1;6;1;-;-;-;-;2;1;1;-;-;-;-;-;12
"315200 Pompéu";1;3;-;8;19;2;-;1;3;2;16;3;6;-;-;-;2;5;71
"315210 Ponte Nova";13;8;1;76;82;29;8;4;12;11;71;13;22;-;4;-;45;8;407
"315213 Ponto Chique";2;-;-;1;3;2;-;-;2;1;2;-;-;-;-;-;-;-;13
"315217 Ponto dos Volantes";1;3;-;1;11;1;1;-;-;1;3;-;1;-;-;-;-;-;23
"315220 Porteirinha";3;3;-;7;44;5;2;-;7;5;21;1;6;1;-;-;2;4;111
"315230 Porto Firme";1;-;-;-;2;2;-;-;3;1;4;-;2;-;-;-;2;-;17
"315240 Poté";1;3;-;6;4;5;-;-;1;1;7;-;2;-;-;-;-;1;31
"315250 Pouso Alegre";17;5;10;61;159;93;28;18;14;27;130;48;65;7;13;-;156;49;900
"315260 Pouso Alto";-;2;-;-;3;3;-;-;-;-;4;-;4;-;-;-;-;2;18
"315270 Prados";1;2;-;2;5;3;2;-;2;2;4;-;2;-;-;-;-;2;27
"315280 Prata";3;-;-;18;17;8;3;1;5;1;18;2;5;-;-;-;4;7;92
"315290 Pratápolis";-;2;-;5;6;2;-;-;2;1;4;-;2;-;-;-;1;-;25
"315300 Pratinha";-;1;-;2;6;2;-;-;2;-;1;-;1;-;-;-;-;-;15
"315310 Presidente Bernardes";-;-;-;1;6;1;1;-;-;-;2;-;1;-;-;-;-;-;12
"315320 Presidente Juscelino";1;-;-;-;3;1;-;-;2;1;3;-;1;-;-;-;-;1;13
"315330 Presidente Kubitschek";1;1;-;1;2;1;-;-;1;1;3;-;-;-;-;-;-;-;11
"315340 Presidente Olegário";2;1;-;2;8;3;-;-;4;3;13;-;4;-;-;-;-;5;45
"315360 Prudente de Morais";-;-;-;1;4;1;-;-;4;1;2;-;3;-;-;-;-;1;17
"315370 Quartel Geral";-;1;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;4
"315380 Queluzito";-;1;-;-;2;-;-;-;-;1;-;-;1;-;-;-;-;-;5
"315390 Raposos";1;1;-;5;11;3;1;-;1;2;6;-;4;1;-;-;4;3;43
"315400 Raul Soares";2;3;-;9;10;5;1;-;2;1;16;2;2;-;-;-;1;3;57
"315410 Recreio";-;1;-;7;9;3;-;-;2;2;5;-;1;-;-;-;-;1;31
"315415 Reduto";1;1;-;-;2;1;-;-;3;-;3;-;1;-;-;-;-;-;12
"315420 Resende Costa";-;1;-;1;5;3;1;-;1;1;5;1;-;-;1;-;-;1;21
"315430 Resplendor";3;4;1;6;21;1;-;-;2;1;8;2;5;1;-;-;2;4;61
"315440 Ressaquinha";1;3;-;-;3;2;1;-;2;-;4;-;2;-;-;-;-;-;18
"315445 Riachinho";1;2;-;4;5;1;-;-;1;-;3;-;1;-;-;-;-;-;18
"315450 Riacho dos Machados";-;1;-;1;7;1;1;-;3;-;7;-;-;-;-;-;-;-;21
"315460 Ribeirão das Neves";34;14;5;38;150;34;7;3;45;16;78;10;62;8;1;-;11;12;528
"315470 Ribeirão Vermelho";-;2;-;1;3;-;-;-;-;-;2;-;1;-;-;-;-;-;9
"315480 Rio Acima";-;1;-;4;4;4;1;-;4;1;2;2;2;-;-;-;-;2;27
"315490 Rio Casca";-;1;-;6;6;3;-;-;3;2;18;-;3;-;-;-;1;2;45
"315510 Rio do Prado";1;-;-;-;6;2;-;-;3;1;3;-;2;-;-;-;-;-;18
"315500 Rio Doce";-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;4
"315520 Rio Espera";2;2;-;-;6;1;2;-;1;2;2;-;1;-;-;-;-;-;19
"315530 Rio Manso";-;-;-;-;5;1;-;-;2;-;2;-;1;-;-;-;-;-;11
"315540 Rio Novo";1;-;-;-;5;2;1;-;3;-;5;1;2;-;-;-;-;-;20
"315550 Rio Paranaíba";1;2;-;3;9;5;-;-;3;2;5;-;-;-;-;-;-;-;30
"315560 Rio Pardo de Minas";1;3;-;11;17;3;2;-;1;1;14;1;3;-;-;-;-;-;57
"315570 Rio Piracicaba";-;1;-;-;9;1;-;-;4;1;4;-;1;-;-;-;-;-;21
"315580 Rio Pomba";3;3;1;3;7;6;3;2;4;1;9;3;8;1;-;-;2;-;56
"315590 Rio Preto";-;1;-;2;4;2;1;-;2;-;4;2;-;-;1;-;-;2;21
"315600 Rio Vermelho";2;1;-;3;12;1;-;-;2;1;7;-;2;-;-;-;-;-;31
"315610 Ritápolis";2;-;-;-;5;3;3;-;1;-;3;1;3;-;-;-;1;-;22
"315620 Rochedo de Minas";1;1;-;1;1;2;-;-;1;1;1;-;1;-;-;-;1;-;11
"315630 Rodeiro";1;2;-;2;5;6;1;-;2;1;2;1;2;-;-;-;-;-;25
"315640 Romaria";-;-;-;2;4;-;1;-;2;-;3;-;1;1;-;-;-;9;23
"315645 Rosário da Limeira";-;1;-;-;4;2;-;-;1;1;2;-;2;-;-;-;-;1;14
"315650 Rubelita";1;1;-;1;6;1;-;1;3;1;3;1;-;-;-;-;1;-;20
"315660 Rubim";1;2;-;1;5;2;-;-;1;-;3;-;1;-;-;-;1;1;18
"315670 Sabará";7;8;2;41;106;29;12;2;9;8;44;5;27;1;-;-;13;13;327
"315680 Sabinópolis";1;2;-;2;9;1;-;-;4;1;6;1;1;-;-;-;1;1;30
"315690 Sacramento";2;2;-;13;19;13;3;3;6;2;35;2;9;2;3;-;6;7;127
"315700 Salinas";5;5;-;8;31;16;3;-;9;4;22;-;8;-;-;-;2;8;121
"315710 Salto da Divisa";1;1;-;1;4;1;-;1;1;1;1;-;1;-;-;-;-;1;14
"315720 Santa Bárbara";3;3;-;12;16;7;2;1;9;3;13;1;4;-;-;-;1;2;77
"315725 Santa Bárbara do Leste";1;1;-;-;5;4;-;-;3;-;4;-;-;-;-;-;-;-;18
"315727 Santa Bárbara do Monte Verde";-;1;-;2;2;-;-;-;1;-;4;1;-;-;-;-;-;-;11
"315730 Santa Bárbara do Tugúrio";-;2;-;-;2;1;1;-;1;-;4;-;1;-;-;-;-;-;12
"315733 Santa Cruz de Minas";-;-;-;3;3;2;1;-;2;1;3;-;2;-;-;-;1;-;18
"315737 Santa Cruz de Salinas";-;1;-;-;3;1;-;-;2;-;4;-;2;-;-;-;-;1;14
"315740 Santa Cruz do Escalvado";1;2;-;-;2;-;-;-;-;1;4;-;1;-;-;-;-;1;12
"315750 Santa Efigênia de Minas";1;-;-;-;4;1;-;-;1;2;1;-;2;-;-;-;-;-;12
"315760 Santa Fé de Minas";1;-;-;1;6;2;-;-;3;-;3;-;1;-;-;-;-;-;17
"315765 Santa Helena de Minas";1;1;-;-;3;-;-;-;2;1;2;-;1;-;-;-;-;-;11
"315770 Santa Juliana";-;2;-;4;10;2;1;-;1;1;3;-;2;-;-;-;-;6;32
"315780 Santa Luzia";6;7;-;46;81;23;14;1;32;2;33;5;24;1;-;-;11;8;294
"315790 Santa Margarida";1;2;-;5;10;2;1;-;2;1;6;-;2;-;-;-;-;-;32
"315800 Santa Maria de Itabira";-;2;-;-;6;3;-;-;3;-;6;-;1;-;-;-;-;2;23
"315810 Santa Maria do Salto";1;1;-;1;2;1;1;-;1;-;1;-;-;-;-;-;-;-;9
"315820 Santa Maria do Suaçuí";1;2;-;6;10;2;-;-;2;1;2;1;1;-;-;-;-;1;29
"315920 Santa Rita de Caldas";-;2;-;-;8;3;-;-;1;1;6;-;-;-;-;-;-;-;21
"315940 Santa Rita de Ibitipoca";-;-;-;-;3;1;1;-;1;1;4;1;-;-;-;-;-;-;12
"315930 Santa Rita de Jacutinga";-;1;-;3;7;5;1;-;3;1;4;1;2;1;-;-;-;1;30
"315935 Santa Rita de Minas";-;-;-;1;5;3;1;-;-;1;4;-;2;-;-;-;-;-;17
"315950 Santa Rita do Itueto";1;1;-;-;3;2;-;-;2;1;2;-;1;-;-;-;-;-;13
"315960 Santa Rita do Sapucaí";2;7;3;26;38;28;6;4;4;8;22;8;14;-;2;-;9;4;185
"315970 Santa Rosa da Serra";1;1;-;1;3;1;1;-;1;-;3;-;1;-;-;-;-;-;13
"315980 Santa Vitória";3;3;-;8;8;7;2;-;6;3;9;1;6;-;-;-;2;-;58
"315830 Santana da Vargem";2;1;-;2;5;3;2;2;1;1;7;2;1;-;-;-;1;2;32
"315840 Santana de Cataguases";1;1;-;-;3;2;-;-;-;1;1;-;-;-;-;-;-;-;9
"315850 Santana de Pirapama";-;-;-;-;8;1;1;-;3;-;4;1;1;-;-;-;-;-;19
"315860 Santana do Deserto";-;1;-;4;1;1;-;-;1;-;4;1;1;-;-;-;-;-;14
"315870 Santana do Garambéu";1;1;-;-;4;3;-;-;-;1;1;-;2;-;-;-;-;-;13
"315880 Santana do Jacaré";-;-;-;-;3;1;2;-;-;1;3;-;-;-;-;-;-;-;10
"315890 Santana do Manhuaçu";1;1;-;1;7;2;1;-;1;1;3;-;-;-;-;-;1;-;19
"315895 Santana do Paraíso";1;1;-;2;7;1;3;1;7;2;14;-;5;-;-;-;-;-;44
"315900 Santana do Riacho";-;-;-;-;2;1;-;-;2;1;2;-;-;-;-;-;-;-;8
"315910 Santana dos Montes";-;1;-;-;2;-;-;-;1;1;2;-;1;-;-;-;1;1;10
"315990 Santo Antônio do Amparo";2;4;-;10;21;5;1;-;3;2;13;1;3;-;-;-;3;2;70
"316000 Santo Antônio do Aventureiro";1;1;-;-;2;1;1;-;1;1;3;-;1;-;-;-;-;-;12
"316010 Santo Antônio do Grama";-;1;-;-;5;1;1;-;1;1;3;-;-;-;-;-;-;1;14
"316020 Santo Antônio do Itambé";-;-;-;1;2;1;-;-;1;1;2;-;-;-;-;-;-;-;8
"316030 Santo Antônio do Jacinto";1;1;-;1;5;1;-;-;3;1;2;-;1;-;-;-;-;-;16
"316040 Santo Antônio do Monte";5;3;-;14;23;5;1;1;5;4;16;-;9;-;-;-;3;4;93
"316045 Santo Antônio do Retiro";1;1;-;1;6;1;-;-;3;1;3;-;1;-;-;-;-;1;19
"316050 Santo Antônio do Rio Abaixo";-;1;-;1;5;1;1;-;-;1;2;-;-;-;-;-;-;-;12
"316060 Santo Hipólito";1;-;-;-;2;1;-;-;1;1;-;-;1;-;-;-;-;-;7
"316070 Santos Dumont";4;7;-;24;32;3;-;2;16;2;14;8;9;-;-;-;6;3;130
"316080 São Bento Abade";-;-;-;1;2;1;-;1;1;1;-;-;1;-;-;-;-;-;8
"316090 São Brás do Suaçuí";-;3;-;2;3;2;1;-;1;-;2;-;-;-;-;-;2;-;16
"316095 São Domingos das Dores";1;1;-;-;3;2;-;-;1;1;3;-;-;-;-;-;-;-;12
"316100 São Domingos do Prata";2;2;-;12;10;4;1;-;1;1;5;1;3;-;1;-;-;2;45
"316105 São Félix de Minas";1;3;-;-;5;2;-;-;1;1;3;1;1;-;-;-;-;2;20
"316110 São Francisco";2;2;-;11;28;6;1;1;6;3;13;1;5;-;-;-;1;4;84
"316120 São Francisco de Paula";-;1;-;1;5;1;-;-;-;1;3;-;1;-;-;-;-;-;13
"316130 São Francisco de Sales";-;3;-;3;8;2;-;1;-;1;4;-;2;-;-;-;-;1;25
"316140 São Francisco do Glória";2;2;-;-;6;1;-;-;1;1;4;-;1;-;-;-;-;2;20
"316150 São Geraldo";2;1;-;2;5;3;-;-;1;2;4;-;1;-;-;-;-;-;21
"316160 São Geraldo da Piedade";1;1;-;2;4;1;-;-;2;1;1;-;1;-;-;-;-;-;14
"316165 São Geraldo do Baixio";-;2;-;-;4;1;-;-;1;1;2;-;-;-;-;-;-;-;11
"316170 São Gonçalo do Abaeté";-;-;-;-;3;2;-;-;1;1;7;-;1;-;-;-;-;1;16
"316180 São Gonçalo do Pará";-;-;-;1;6;2;1;-;2;-;3;-;2;-;-;-;-;1;18
"316190 São Gonçalo do Rio Abaixo";2;1;-;5;13;2;1;-;3;1;6;-;2;-;-;-;-;3;39
"312550 São Gonçalo do Rio Preto";-;1;-;-;1;2;-;-;1;1;3;-;1;-;-;-;-;-;10
"316200 São Gonçalo do Sapucaí";2;2;1;11;9;18;-;1;-;2;20;2;4;-;-;-;3;3;78
"316210 São Gotardo";2;2;-;7;21;12;2;1;3;4;11;1;9;-;-;-;2;8;85
"316220 São João Batista do Glória";-;2;-;1;9;1;1;-;-;1;3;-;1;1;-;-;-;1;21
"316225 São João da Lagoa";-;1;-;2;5;1;-;-;-;1;1;-;-;-;-;-;-;-;11
"316230 São João da Mata";1;1;-;-;3;3;-;-;1;1;1;1;1;-;-;-;-;-;13
"316240 São João da Ponte";2;-;-;3;21;4;2;-;6;1;12;-;2;-;-;-;-;-;53
"316245 São João das Missões";-;1;-;1;12;1;-;-;5;-;7;-;-;-;-;-;-;-;27
"316250 São João del Rei";11;12;3;95;92;54;15;3;20;13;109;11;40;-;4;-;47;12;541
"316255 São João do Manhuaçu";-;1;-;1;7;2;-;-;3;-;6;-;1;-;-;-;-;-;21
"316257 São João do Manteninha";-;-;-;-;3;-;-;-;-;-;2;-;-;-;-;-;-;-;5
"316260 São João do Oriente";-;-;-;1;7;3;1;-;4;1;7;-;1;-;-;-;-;-;25
"316265 São João do Pacuí";-;1;-;1;4;2;1;-;2;-;2;-;1;-;-;-;-;-;14
"316270 São João do Paraíso";1;2;1;4;19;5;1;-;3;1;11;2;2;-;-;-;-;-;52
"316280 São João Evangelista";1;1;-;4;12;5;1;-;2;1;4;-;2;-;-;-;-;1;34
"316290 São João Nepomuceno";3;2;-;12;15;7;2;-;1;1;11;4;6;-;-;-;3;3;70
"316292 São Joaquim de Bicas";6;2;-;4;18;3;1;-;5;3;9;-;4;-;-;-;1;1;57
"316294 São José da Barra";1;1;-;3;10;5;2;-;1;1;8;1;1;-;1;-;1;-;36
"316295 São José da Lapa";1;1;-;8;9;2;1;1;5;1;14;5;1;1;-;-;2;1;53
"316300 São José da Safira";-;1;-;-;6;-;-;1;2;-;2;-;1;-;-;-;-;-;13
"316310 São José da Varginha";-;1;-;-;5;-;-;-;2;-;2;-;1;-;-;-;-;-;11
"316320 São José do Alegre";-;1;-;-;3;1;-;-;1;-;2;-;1;-;-;-;-;-;9
"316330 São José do Divino";-;1;-;2;7;3;-;-;1;-;3;-;2;-;-;-;-;-;19
"316340 São José do Goiabal";1;2;-;1;6;1;-;-;-;1;2;-;1;-;-;-;-;-;15
"316350 São José do Jacuri";-;-;-;-;4;-;-;-;2;-;1;-;1;-;-;-;-;-;8
"316360 São José do Mantimento";-;-;-;-;3;1;-;-;-;1;2;-;-;-;-;-;-;-;7
"316370 São Lourenço";8;7;3;39;63;21;6;4;5;7;54;8;20;3;1;-;36;6;291
"316380 São Miguel do Anta";3;1;-;-;2;2;-;-;2;2;4;-;3;-;-;-;-;-;19
"316390 São Pedro da União";1;3;-;3;9;3;1;-;-;1;5;-;1;-;-;-;-;-;27
"316410 São Pedro do Suaçuí";2;1;-;-;4;-;-;-;2;1;3;-;-;-;-;-;-;-;13
"316400 São Pedro dos Ferros";2;1;-;2;1;1;-;-;2;1;4;-;2;-;-;-;-;1;17
"316420 São Romão";-;-;-;2;6;2;-;-;3;1;3;-;1;-;-;-;-;-;18
"316430 São Roque de Minas";-;1;-;2;4;3;-;-;1;1;2;-;1;-;-;-;-;-;15
"316440 São Sebastião da Bela Vista";-;-;-;-;5;-;-;-;-;-;2;-;-;-;-;-;-;-;7
"316443 São Sebastião da Vargem Alegre";-;-;-;1;4;1;-;-;1;1;2;-;1;-;-;-;-;-;11
"316447 São Sebastião do Anta";-;1;-;-;3;-;-;-;2;-;3;-;1;-;-;-;-;-;10
"316450 São Sebastião do Maranhão";-;1;-;2;5;1;-;-;3;1;3;-;-;-;-;-;-;-;16
"316460 São Sebastião do Oeste";-;2;-;2;6;3;1;-;3;1;1;1;1;-;-;-;-;-;21
"316470 São Sebastião do Paraíso";19;4;1;83;84;27;9;2;9;10;34;9;31;3;2;-;38;13;378
"316480 São Sebastião do Rio Preto";1;1;-;-;6;1;-;-;-;1;1;-;2;-;-;-;-;-;13
"316490 São Sebastião do Rio Verde";-;2;-;-;1;1;1;-;-;1;2;-;2;-;-;-;-;-;10
"316520 São Thomé das Letras";-;2;-;3;7;4;3;-;1;1;6;-;4;-;-;-;-;-;31
"316500 São Tiago";-;2;-;2;9;1;1;-;4;-;3;-;-;-;-;-;-;11;33
"316510 São Tomás de Aquino";2;1;-;4;4;2;1;-;-;1;3;1;1;-;-;-;1;2;23
"316530 São Vicente de Minas";2;2;-;-;7;2;1;-;-;-;4;1;2;-;-;-;-;1;22
"316540 Sapucaí-Mirim";2;1;-;3;3;1;2;-;1;-;2;1;1;-;-;-;-;1;18
"316550 Sardoá";-;1;-;-;4;1;-;-;-;1;2;-;-;-;-;-;-;-;9
"316553 Sarzedo";1;2;-;9;23;6;3;-;6;3;11;1;6;1;-;-;-;4;76
"316556 Sem-Peixe";-;-;-;-;2;-;-;-;1;1;1;-;1;-;-;-;-;-;6
"316557 Senador Amaral";1;1;-;1;5;-;-;-;2;1;2;-;-;-;-;-;1;-;14
"316560 Senador Cortes";-;2;-;1;1;-;-;-;1;1;2;1;1;-;-;-;-;-;10
"316570 Senador Firmino";1;-;-;4;5;2;-;-;2;-;2;-;3;1;-;-;-;1;21
"316580 Senador José Bento";-;1;-;-;4;1;-;-;1;1;2;-;1;-;-;-;-;-;11
"316590 Senador Modestino Gonçalves";-;1;-;1;3;1;-;-;1;1;2;-;1;-;-;-;-;-;11
"316600 Senhora de Oliveira";-;1;-;3;8;1;-;-;2;2;2;-;-;-;-;-;-;1;20
"316610 Senhora do Porto";-;2;-;1;3;-;-;-;1;-;2;-;-;-;-;-;-;-;9
"316620 Senhora dos Remédios";-;3;-;1;3;4;1;-;2;1;3;-;1;-;-;-;1;-;20
"316630 Sericita";-;1;-;-;6;2;-;-;3;1;4;-;2;-;-;-;-;-;19
"316640 Seritinga";-;-;-;1;3;2;-;-;-;-;1;-;-;-;-;-;-;1;8
"316650 Serra Azul de Minas";-;1;-;-;5;2;1;-;2;2;4;-;2;-;-;-;-;1;20
"316660 Serra da Saudade";-;-;-;-;2;2;-;-;-;1;1;-;2;-;-;-;-;-;8
"316680 Serra do Salitre";1;1;-;3;4;4;1;-;2;1;6;-;1;-;-;-;-;1;25
"316670 Serra dos Aimorés";1;3;-;1;6;3;-;-;1;1;3;-;1;-;-;-;-;-;20
"316690 Serrania";-;2;1;6;4;1;-;-;3;1;1;-;1;1;-;-;-;-;21
"316695 Serranópolis de Minas";1;1;-;1;3;1;-;-;1;1;1;-;1;-;-;-;-;-;11
"316700 Serranos";-;2;-;1;1;3;-;-;3;-;2;-;1;-;-;-;-;-;13
"316710 Serro";2;1;-;7;19;3;1;-;1;1;12;4;4;-;-;-;1;-;56
"316720 Sete Lagoas";38;20;17;75;216;67;34;9;46;26;149;18;79;4;7;-;83;47;935
"316555 Setubinha";-;-;-;-;2;1;-;-;2;1;3;-;-;-;-;-;1;-;10
"316730 Silveirânia";2;-;-;-;3;1;-;-;-;1;1;-;-;-;-;-;-;-;8
"316740 Silvianópolis";-;1;-;1;7;2;1;-;2;1;4;1;1;-;-;-;-;1;22
"316750 Simão Pereira";1;-;-;3;2;1;1;-;-;1;4;-;1;-;-;-;-;-;14
"316760 Simonésia";1;1;-;3;20;1;-;-;3;1;8;-;2;-;-;-;-;1;41
"316770 Sobrália";-;1;-;2;5;1;1;-;2;1;3;-;1;-;-;-;-;-;17
"316780 Soledade de Minas";-;-;-;1;3;-;-;-;-;-;4;-;-;-;-;-;1;-;9
"316790 Tabuleiro";-;-;-;1;3;-;-;-;2;-;4;-;-;-;-;-;-;-;10
"316800 Taiobeiras";5;6;-;19;33;12;2;-;1;6;20;1;6;-;-;-;4;4;119
"316805 Taparuba";1;2;-;-;3;2;-;-;2;-;2;-;-;-;-;-;-;-;12
"316810 Tapira";-;1;-;2;3;1;-;-;1;-;1;-;-;-;-;-;-;-;9
"316820 Tapiraí";-;1;-;-;2;-;-;-;-;-;1;-;1;-;-;-;-;-;5
"316830 Taquaraçu de Minas";-;-;-;1;8;1;1;-;-;-;2;-;-;-;-;-;-;1;14
"316840 Tarumirim";1;4;-;3;12;2;-;-;2;2;8;-;1;-;-;-;1;-;36
"316850 Teixeiras";-;1;-;4;6;3;-;-;2;1;9;-;1;-;-;-;-;-;27
"316860 Teófilo Otoni";22;19;3;116;188;51;10;11;12;23;131;18;47;3;5;-;63;14;736
"316870 Timóteo";8;5;1;43;50;19;11;-;9;7;48;8;32;-;3;-;13;8;265
"316880 Tiradentes";-;-;-;1;2;1;-;-;1;-;2;-;-;-;-;-;-;-;7
"316890 Tiros";-;-;-;5;5;4;-;-;2;2;6;-;2;-;-;-;1;-;27
"316900 Tocantins";1;1;-;1;5;8;2;-;-;1;11;-;4;-;-;-;1;2;37
"316905 Tocos do Moji";-;-;-;1;3;-;-;-;-;-;5;-;-;-;-;-;-;-;9
"316910 Toledo";1;2;-;3;3;1;1;1;1;-;3;1;2;1;-;-;1;-;21
"316920 Tombos";3;1;-;6;12;8;-;1;1;-;10;2;3;-;-;-;2;3;52
"316930 Três Corações";11;8;1;29;62;41;11;5;7;14;94;12;37;-;1;-;34;4;371
"316935 Três Marias";4;2;-;13;17;5;1;1;3;2;10;6;6;-;-;-;2;2;74
"316940 Três Pontas";4;7;3;23;51;25;6;2;3;6;76;7;27;-;3;-;17;14;274
"316950 Tumiritinga";-;1;-;2;4;1;1;-;1;-;3;-;-;-;-;-;-;-;13
"316960 Tupaciguara";5;2;-;5;11;1;3;2;4;4;14;2;7;2;-;-;2;8;72
"316970 Turmalina";2;1;-;10;20;5;1;-;2;2;11;2;4;-;-;-;-;4;64
"316980 Turvolândia";1;-;-;1;4;-;-;-;1;-;3;-;1;-;-;-;-;-;11
"316990 Ubá";17;25;-;124;115;49;10;1;13;16;52;15;32;1;5;-;27;5;507
"317000 Ubaí";1;1;-;1;6;3;1;-;3;1;3;-;1;-;-;-;-;-;21
"317005 Ubaporanga";1;2;-;-;6;1;-;-;4;1;2;-;1;-;-;-;-;-;18
"317010 Uberaba";69;48;23;189;435;192;38;52;47;39;239;93;175;13;26;1;558;177;2414
"317020 Uberlândia";195;77;45;343;644;310;48;139;73;82;807;213;307;25;35;1;828;99;4271
"317030 Umburatiba";-;1;-;1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;5
"317040 Unaí";10;9;2;26;36;19;7;1;7;5;44;4;16;-;3;-;14;10;213
"317043 União de Minas";-;3;-;1;5;2;1;-;-;1;4;1;-;-;-;-;-;2;20
"317047 Uruana de Minas";-;-;-;1;3;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"317050 Urucânia";-;1;-;-;4;2;-;-;1;2;4;-;1;-;-;-;-;-;15
"317052 Urucuia";1;-;-;3;6;1;-;-;2;2;3;-;2;-;-;-;-;-;20
"317057 Vargem Alegre";1;1;-;-;6;2;-;-;2;1;2;-;1;-;-;-;-;-;16
"317060 Vargem Bonita";-;2;-;-;2;1;-;-;1;1;2;-;-;1;-;-;-;-;10
"317065 Vargem Grande do Rio Pardo";-;1;-;1;4;1;-;-;1;1;1;-;1;-;-;-;-;-;11
"317070 Varginha";16;13;2;143;129;64;10;6;9;23;123;20;69;2;4;1;85;24;743
"317075 Varjão de Minas";-;1;-;2;4;3;-;-;1;1;3;-;2;-;-;-;-;1;18
"317080 Várzea da Palma";4;10;-;7;25;4;2;-;11;3;11;1;3;-;-;-;1;2;84
"317090 Varzelândia";1;4;-;2;15;3;-;-;6;1;7;-;2;-;-;-;-;-;41
"317100 Vazante";1;5;-;11;16;8;1;-;4;2;13;1;3;-;-;-;1;5;71
"317103 Verdelândia";-;-;-;-;3;2;1;-;3;1;4;-;-;-;-;-;-;-;14
"317107 Veredinha";1;1;-;-;5;2;-;-;3;-;2;-;-;-;-;-;-;-;14
"317110 Veríssimo";1;-;-;-;4;1;-;-;2;-;4;-;-;-;-;-;-;-;12
"317115 Vermelho Novo";-;-;-;1;3;2;1;-;2;1;2;-;1;-;-;-;-;-;13
"317120 Vespasiano";2;9;3;54;72;15;4;3;13;3;55;18;24;3;-;1;16;9;304
"317130 Viçosa";8;7;-;55;57;37;6;2;13;23;110;9;34;1;1;-;34;15;412
"317140 Vieiras";-;-;-;-;5;2;-;-;2;1;2;-;-;-;-;-;-;-;12
"317160 Virgem da Lapa";-;2;-;3;9;2;-;-;3;1;3;-;1;-;-;-;-;-;24
"317170 Virgínia";-;1;-;-;2;1;-;-;1;-;5;-;1;-;-;-;1;1;13
"317180 Virginópolis";-;1;-;2;5;1;-;-;1;-;11;-;1;-;-;-;-;-;22
"317190 Virgolândia";-;-;-;3;5;1;-;-;1;1;2;-;-;-;-;-;-;-;13
"317200 Visconde do Rio Branco";3;3;-;19;13;21;3;-;1;5;25;4;8;-;-;-;7;2;114
